"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"ADM003",1/20/2015,,3.0,26.66,9.49,20.53,1.8,7.9,8.6,84.7,(9999.0)
"ADM003",1/20/2015,,3.5,27.60,9.61,21.24,1.8,7.6,8.2,87.0,(9999.0)
"ADM003",1/20/2015,,4.0,28.44,9.77,21.87,1.7,7.3,8.0,89.0,(9999.0)
"ADM003",1/20/2015,,4.5,28.53,9.79,21.94,1.5,7.2,7.8,90.9,(9999.0)
"ADM003",1/20/2015,,5.0,28.55,9.79,21.95,1.2,7.1,7.8,91.4,(9999.0)
"ADM003",1/20/2015,,5.5,28.57,9.83,21.96,1.1,7.1,7.7,91.6,(9999.0)
"ADM003",1/20/2015,,6.0,28.61,9.85,21.99,1.1,7.0,7.7,91.7,(9999.0)
"ADM003",1/20/2015,,6.5,28.65,9.86,22.02,1.0,7.0,7.6,91.8,(9999.0)
"ADM003",1/20/2015,,7.0,28.66,9.86,22.02,1.0,7.0,7.6,91.8,(9999.0)
"ADM003",1/20/2015,,7.5,28.69,9.86,22.05,0.9,7.0,7.6,91.8,(9999.0)
"ADM003",1/20/2015,,8.0,28.72,9.86,22.07,0.9,7.0,7.6,91.8,(9999.0)
"ADM003",1/20/2015,,8.5,28.73,9.85,22.08,0.9,6.9,7.6,91.8,(9999.0)
"ADM003",1/20/2015,,9.0,28.73,9.85,22.08,0.9,6.9,7.6,91.9,(9999.0)
"ADM003",1/20/2015,,9.5,28.73,9.85,22.08,0.9,6.9,7.5,91.9,(9999.0)
"ADM003",1/20/2015,,10.0,28.73,9.85,22.09,0.9,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,10.5,28.74,9.86,22.09,0.8,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,11.0,28.75,9.86,22.10,0.9,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,11.5,28.76,9.86,22.10,0.8,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,12.0,28.77,9.86,22.12,0.8,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,12.5,28.80,9.87,22.13,0.8,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,13.0,28.81,9.88,22.14,0.8,6.9,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,13.5,28.83,9.89,22.16,0.8,6.9,7.5,91.9,(9999.0)
"ADM003",1/20/2015,,14.0,28.87,9.92,22.19,0.8,6.8,7.5,91.8,(9999.0)
"ADM003",1/20/2015,,14.5,28.94,9.95,22.23,0.8,6.8,7.4,91.8,(9999.0)
"ADM003",1/20/2015,,15.0,28.99,9.96,22.27,0.8,6.8,7.4,92.1,(9999.0)
"ADM003",1/20/2015,,15.5,29.03,9.95,22.30,0.8,6.7,7.4,92.1,(9999.0)
"ADM003",1/20/2015,,16.0,29.06,9.94,22.32,0.7,6.7,7.3,92.1,(9999.0)
"ADM003",1/20/2015,,16.5,29.06,9.94,22.33,0.6,6.7,7.3,92.1,(9999.0)
"ADM003",1/20/2015,,17.0,29.06,9.94,22.33,0.6,6.7,7.3,92.2,(9999.0)
"ADM003",1/20/2015,,17.5,29.07,9.94,22.33,0.7,6.7,7.3,92.1,(9999.0)
"ADM003",1/20/2015,,18.0,29.07,9.94,22.33,0.7,6.7,7.3,92.1,(9999.0)
"ADM003",1/20/2015,,18.5,29.07,9.94,22.33,0.6,6.7,7.3,92.0,(9999.0)
"ADM003",1/20/2015,,19.0,29.08,9.93,22.34,0.6,6.7,7.3,92.1,(9999.0)
"ADM003",1/20/2015,,19.5,29.09,9.93,22.35,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,20.0,29.09,9.93,22.35,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,20.5,29.09,9.92,22.36,0.7,6.7,7.3,92.0,(9999.0)
"ADM003",1/20/2015,,21.0,29.10,9.92,22.36,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,21.5,29.11,9.91,22.37,0.7,6.7,7.3,91.7,(9999.0)
"ADM003",1/20/2015,,22.0,29.11,9.90,22.38,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,22.5,29.12,9.90,22.38,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,23.0,29.12,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,23.5,29.12,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,24.0,29.12,9.91,22.38,0.7,6.7,7.3,91.7,(9999.0)
"ADM003",1/20/2015,,24.5,29.12,9.91,22.38,0.6,6.7,7.3,91.7,(9999.0)
"ADM003",1/20/2015,,25.0,29.12,9.91,22.38,0.7,6.7,7.3,91.7,(9999.0)
"ADM003",1/20/2015,,25.5,29.11,9.91,22.37,0.6,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,26.0,29.11,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,26.5,29.12,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,27.0,29.12,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,27.5,29.12,9.91,22.38,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,28.0,29.12,9.91,22.38,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,28.5,29.12,9.91,22.38,0.7,6.7,7.3,91.9,(9999.0)
"ADM003",1/20/2015,,29.0,29.13,9.90,22.39,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,29.5,29.13,9.90,22.39,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,30.0,29.14,9.90,22.39,0.7,6.7,7.3,91.8,(9999.0)
"ADM003",1/20/2015,,30.5,29.14,9.90,22.39,0.6,6.7,7.3,91.6,(9999.0)
"ADM003",1/20/2015,,31.0,29.14,9.90,22.40,0.7,6.7,7.3,91.5,(9999.0)
"ADM003",1/20/2015,,31.5,29.14,9.90,22.40,0.7,6.7,7.3,91.6,(9999.0)
"ADM003",1/20/2015,,32.0,29.14,9.90,22.40,0.7,6.7,7.3,91.5,(9999.0)
"ADM003",1/20/2015,,32.5,29.14,9.90,22.40,0.6,6.7,7.3,91.5,(9999.0)
"ADM003",1/20/2015,,33.0,29.16,9.89,22.41,0.6,6.7,7.3,91.6,(9999.0)
"ADM003",1/20/2015,,33.5,29.18,9.87,22.43,0.7,6.7,7.3,91.3,(9999.0)
"ADM003",1/20/2015,,34.0,29.18,9.87,22.43,0.6,6.7,7.3,91.1,(9999.0)
"ADM003",1/20/2015,,34.5,29.18,9.87,22.43,0.6,6.7,7.3,91.0,(9999.0)
"ADM003",1/20/2015,,35.0,29.19,9.87,22.44,0.7,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,35.5,29.19,9.87,22.44,0.7,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,36.0,29.19,9.87,22.44,0.7,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,36.5,29.19,9.87,22.44,0.7,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,37.0,29.19,9.86,22.44,0.7,6.6,7.2,90.7,(9999.0)
"ADM003",1/20/2015,,37.5,29.19,9.86,22.44,0.7,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,38.0,29.19,9.87,22.44,0.6,6.6,7.2,90.9,(9999.0)
"ADM003",1/20/2015,,38.5,29.19,9.86,22.44,0.6,6.6,7.2,90.8,(9999.0)
"ADM003",1/20/2015,,39.0,29.19,9.86,22.44,0.7,6.6,7.2,90.6,(9999.0)
"ADM003",1/20/2015,,39.5,29.19,9.86,22.44,0.7,6.7,7.3,90.7,(9999.0)
"ADM003",1/20/2015,,40.0,29.19,9.86,22.45,0.7,6.7,7.3,90.7,(9999.0)
"ADM003",1/20/2015,,40.5,29.20,9.85,22.45,0.7,6.7,7.3,90.6,(9999.0)
"ADM003",1/20/2015,,41.0,29.20,9.84,22.45,0.7,6.6,7.2,90.7,(9999.0)
"ADM003",1/20/2015,,41.5,29.20,9.85,22.45,0.7,6.6,7.2,90.7,(9999.0)
"ADM003",1/20/2015,,42.0,29.20,9.83,22.46,0.7,6.7,7.3,90.6,(9999.0)
"ADM003",1/20/2015,,42.5,29.20,9.82,22.46,0.7,6.7,7.3,90.6,(9999.0)
"ADM003",1/20/2015,,43.0,29.20,9.82,22.46,0.7,6.7,7.3,90.5,(9999.0)
"ADM003",1/20/2015,,43.5,29.20,9.82,22.46,0.7,6.7,7.3,90.3,(9999.0)
"ADM003",1/20/2015,,44.0,29.20,9.82,22.46,0.7,6.7,7.3,90.4,(9999.0)
"ADM003",1/20/2015,,44.5,29.20,9.81,22.46,0.7,6.7,7.3,90.4,(9999.0)
"ADM003",1/20/2015,,45.0,29.20,9.81,22.46,0.7,6.7,7.3,90.4,(9999.0)
"ADM003",1/20/2015,,45.5,29.20,9.82,22.46,0.7,6.7,7.3,90.4,(9999.0)
"ADM003",1/20/2015,,46.0,29.20,9.81,22.46,0.7,6.7,7.3,90.4,(9999.0)
"ADM003",1/20/2015,,46.5,29.20,9.75,22.46,0.7,6.7,7.3,90.3,(9999.0)
"ADM003",1/20/2015,,47.0,29.19,9.70,22.47,0.7,6.7,7.4,90.3,(9999.0)
"ADM003",1/20/2015,,47.5,29.19,9.67,22.47,0.8,6.8,7.4,90.1,(9999.0)
"ADM003",1/20/2015,,48.0,29.19,9.67,22.47,0.8,6.8,7.4,90.1,(9999.0)
"ADM003",1/20/2015,,48.5,29.19,9.67,22.47,0.8,6.8,7.4,89.9,(9999.0)
"ADM003",1/20/2015,,49.0,29.19,9.67,22.47,0.8,6.8,7.4,90.1,(9999.0)
"ADM003",1/20/2015,,49.5,29.19,9.66,22.47,0.8,6.8,7.4,89.8,(9999.0)
"ADM003",1/20/2015,,50.0,29.19,9.60,22.48,0.8,6.8,7.4,89.7,(9999.0)
"ADM003",1/20/2015,,50.5,29.19,9.60,22.48,0.8,6.8,7.5,89.6,(9999.0)
"ADM003",1/20/2015,,51.0,29.19,9.59,22.48,0.9,6.9,7.5,89.5,(9999.0)
"ADM003",1/20/2015,,51.5,29.19,9.59,22.48,0.9,6.9,7.5,89.6,(9999.0)
"ADM003",1/20/2015,,52.0,29.19,9.59,22.48,0.9,6.9,7.5,89.5,(9999.0)
"ADM003",1/20/2015,,52.5,29.19,9.59,22.48,0.9,6.8,7.5,89.7,(9999.0)
"ADM003",1/20/2015,,53.0,29.19,9.60,22.48,0.9,6.8,7.4,89.7,(9999.0)
"ADM003",1/20/2015,,53.5,29.19,9.60,22.49,0.8,6.8,7.5,89.8,(9999.0)
"ADM003",1/20/2015,,54.0,29.20,9.60,22.49,0.8,6.8,7.4,89.6,(9999.0)
"ADM003",1/20/2015,,54.5,29.19,9.60,22.49,0.9,6.8,7.5,89.6,(9999.0)
"ADM003",1/20/2015,,55.0,29.20,9.61,22.49,0.9,6.8,7.5,89.5,(9999.0)
"ADM003",1/20/2015,,55.5,29.20,9.61,22.49,0.9,6.8,7.5,89.6,(9999.0)
"ADM003",1/20/2015,,56.0,29.21,9.59,22.50,0.8,6.8,7.5,89.3,(9999.0)
"ADM003",1/20/2015,,56.5,29.21,9.59,22.50,0.9,6.8,7.4,89.2,(9999.0)
