"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"BLL009",1/21/2015,,1.0,20.98,6.79,16.43,2.1,8.4,9.2,51.6,(9999.0)
"BLL009",1/21/2015,,1.5,26.46,7.97,20.58,2.0,8.3,9.1,47.1,(9999.0)
"BLL009",1/21/2015,,2.0,27.12,8.04,21.09,1.9,8.2,8.9,47.8,(9999.0)
"BLL009",1/21/2015,,2.5,27.28,8.08,21.21,1.8,8.0,8.8,46.3,(9999.0)
"BLL009",1/21/2015,,3.0,27.34,8.10,21.25,1.7,8.0,8.7,60.2,(9999.0)
"BLL009",1/21/2015,,3.5,27.38,8.11,21.28,1.7,7.9,8.6,68.0,(9999.0)
"BLL009",1/21/2015,,4.0,27.79,8.19,21.59,1.7,7.9,8.6,70.5,(9999.0)
"BLL009",1/21/2015,,4.5,27.81,8.20,21.61,1.6,7.8,8.5,72.4,(9999.0)
"BLL009",1/21/2015,,5.0,27.85,8.20,21.64,1.5,7.8,8.5,72.7,(9999.0)
"BLL009",1/21/2015,,5.5,27.86,8.20,21.64,1.4,7.8,8.5,73.1,(9999.0)
"BLL009",1/21/2015,,6.0,27.87,8.21,21.65,1.4,7.8,8.5,73.4,(9999.0)
"BLL009",1/21/2015,,6.5,27.95,8.21,21.72,1.4,7.8,8.5,73.7,(9999.0)
"BLL009",1/21/2015,,7.0,28.02,8.21,21.77,1.5,7.8,8.5,74.7,(9999.0)
"BLL009",1/21/2015,,7.5,28.03,8.21,21.78,1.5,7.8,8.5,75.1,(9999.0)
"BLL009",1/21/2015,,8.0,28.18,8.21,21.89,1.5,7.9,8.6,75.9,(9999.0)
"BLL009",1/21/2015,,8.5,28.43,8.27,22.08,1.5,7.9,8.6,78.5,(9999.0)
"BLL009",1/21/2015,,9.0,28.60,8.32,22.21,1.4,7.9,8.6,80.6,(9999.0)
"BLL009",1/21/2015,,9.5,28.80,8.40,22.36,1.3,7.8,8.5,81.5,(9999.0)
"BLL009",1/21/2015,,10.0,29.10,8.49,22.57,1.1,7.5,8.2,78.0,(9999.0)
"BLL009",1/21/2015,,10.5,28.99,8.47,22.50,0.7,7.0,7.7,70.7,(9999.0)
