"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"BUD005",1/22/2015,,1.0,25.99,9.29,20.03,1.6,7.5,8.1,62.5,(9999.0)
"BUD005",1/22/2015,,1.5,26.11,9.26,20.13,1.7,7.5,8.2,73.3,(9999.0)
"BUD005",1/22/2015,,2.0,26.67,9.34,20.55,1.6,7.4,8.1,75.5,(9999.0)
"BUD005",1/22/2015,,2.5,26.77,9.36,20.63,1.4,7.4,8.1,76.2,(9999.0)
"BUD005",1/22/2015,,3.0,26.93,9.42,20.75,1.3,7.3,8.0,78.4,(9999.0)
"BUD005",1/22/2015,,3.5,27.12,9.48,20.88,1.3,7.3,7.9,80.4,(9999.0)
"BUD005",1/22/2015,,4.0,27.22,9.51,20.96,1.3,7.2,7.9,82.5,(9999.0)
"BUD005",1/22/2015,,4.5,27.29,9.56,21.00,1.2,7.1,7.8,83.4,(9999.0)
"BUD005",1/22/2015,,5.0,27.32,9.59,21.03,1.3,7.1,7.7,84.6,(9999.0)
"BUD005",1/22/2015,,5.5,27.34,9.61,21.04,1.4,7.1,7.7,85.7,(9999.0)
"BUD005",1/22/2015,,6.0,27.37,9.62,21.06,1.4,7.1,7.7,87.1,(9999.0)
"BUD005",1/22/2015,,6.5,27.52,9.65,21.17,1.5,7.0,7.6,87.8,(9999.0)
"BUD005",1/22/2015,,7.0,27.67,9.67,21.28,1.3,6.9,7.5,87.5,(9999.0)
"BUD005",1/22/2015,,7.5,27.69,9.67,21.30,1.2,6.8,7.4,86.4,(9999.0)
"BUD005",1/22/2015,,8.0,27.70,9.67,21.31,1.2,6.8,7.4,85.8,(9999.0)
"BUD005",1/22/2015,,8.5,27.71,9.67,21.32,1.2,6.8,7.4,85.4,(9999.0)
"BUD005",1/22/2015,,9.0,27.71,9.67,21.32,1.1,6.8,7.4,84.7,(9999.0)
"BUD005",1/22/2015,,9.5,27.71,9.67,21.32,1.1,6.8,7.4,84.4,(9999.0)
"BUD005",1/22/2015,,10.0,27.71,9.67,21.32,1.1,6.8,7.4,84.1,(9999.0)
"BUD005",1/22/2015,,10.5,27.71,9.67,21.32,1.1,6.8,7.4,83.9,(9999.0)
"BUD005",1/22/2015,,11.0,27.74,9.68,21.34,1.1,6.7,7.3,83.7,(9999.0)
"BUD005",1/22/2015,,11.5,27.80,9.69,21.38,1.1,6.7,7.3,81.8,(9999.0)
"BUD005",1/22/2015,,12.0,27.80,9.69,21.38,1.1,6.6,7.2,79.4,(9999.0)
"BUD005",1/22/2015,,12.5,27.80,9.69,21.38,1.2,6.6,7.2,78.3,(9999.0)
"BUD005",1/22/2015,,13.0,27.80,9.69,21.38,1.2,6.5,7.1,77.6,(9999.0)
"BUD005",1/22/2015,,13.5,27.80,9.70,21.38,1.3,6.2,6.8,76.8,(9999.0)
"BUD005",1/22/2015,,14.0,27.70,9.80,21.29,2.4,6.6,7.2,75.8,(9999.0)
