"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"CMB003",1/20/2015,,1.0,19.00,9.04,14.62,1.6,7.8,8.5,41.7,(9999.0)
"CMB003",1/20/2015,,1.5,20.99,9.23,16.14,1.7,8.1,8.8,35.2,(9999.0)
"CMB003",1/20/2015,,2.0,23.73,9.41,18.26,1.7,7.9,8.6,43.1,(9999.0)
"CMB003",1/20/2015,,2.5,25.87,9.62,19.89,1.7,7.7,8.4,63.3,(9999.0)
"CMB003",1/20/2015,,3.0,27.30,9.83,20.97,1.6,7.5,8.2,78.2,(9999.0)
"CMB003",1/20/2015,,3.5,28.00,9.94,21.50,1.6,7.3,8.0,86.6,(9999.0)
"CMB003",1/20/2015,,4.0,28.32,9.97,21.75,1.4,7.2,7.8,87.5,(9999.0)
"CMB003",1/20/2015,,4.5,28.54,10.03,21.91,1.2,7.1,7.7,88.9,(9999.0)
"CMB003",1/20/2015,,5.0,28.64,10.05,21.98,1.1,7.0,7.6,90.7,(9999.0)
"CMB003",1/20/2015,,5.5,28.69,10.06,22.02,1.0,6.9,7.5,91.2,(9999.0)
"CMB003",1/20/2015,,6.0,28.77,10.09,22.08,0.9,6.8,7.5,91.9,(9999.0)
"CMB003",1/20/2015,,6.5,28.81,10.10,22.11,0.9,6.8,7.4,91.8,(9999.0)
"CMB003",1/20/2015,,7.0,28.83,10.11,22.12,0.8,6.7,7.3,91.1,(9999.0)
"CMB003",1/20/2015,,7.5,28.84,10.12,22.13,0.7,6.7,7.3,90.6,(9999.0)
"CMB003",1/20/2015,,8.0,28.85,10.12,22.13,0.7,6.6,7.2,90.5,(9999.0)
"CMB003",1/20/2015,,8.5,28.85,10.13,22.14,0.7,6.6,7.2,90.2,(9999.0)
"CMB003",1/20/2015,,9.0,28.85,10.13,22.14,0.7,6.6,7.2,90.0,(9999.0)
"CMB003",1/20/2015,,9.5,28.86,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,10.0,28.86,10.13,22.14,0.7,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,10.5,28.86,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,11.0,28.85,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,11.5,28.86,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,12.0,28.85,10.13,22.14,0.7,6.6,7.2,89.9,(9999.0)
"CMB003",1/20/2015,,12.5,28.85,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,13.0,28.85,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,13.5,28.85,10.13,22.14,0.7,6.6,7.1,89.8,(9999.0)
"CMB003",1/20/2015,,14.0,28.85,10.13,22.14,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,14.5,28.85,10.13,22.13,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,15.0,28.85,10.13,22.13,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,15.5,28.85,10.13,22.13,0.7,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,16.0,28.85,10.13,22.13,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,16.5,28.85,10.13,22.13,0.7,6.6,7.2,89.8,(9999.0)
"CMB003",1/20/2015,,17.0,28.85,10.13,22.13,0.7,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,17.5,28.86,10.13,22.14,0.7,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,18.0,28.86,10.13,22.14,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,18.5,28.86,10.13,22.14,0.6,6.6,7.1,89.7,(9999.0)
"CMB003",1/20/2015,,19.0,28.86,10.13,22.14,0.7,6.6,7.1,89.6,(9999.0)
"CMB003",1/20/2015,,19.5,28.86,10.13,22.14,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,20.0,28.86,10.13,22.14,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,20.5,28.87,10.12,22.15,0.6,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,21.0,28.87,10.12,22.15,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,21.5,28.87,10.12,22.15,0.7,6.6,7.1,89.6,(9999.0)
"CMB003",1/20/2015,,22.0,28.87,10.12,22.15,0.7,6.6,7.1,89.7,(9999.0)
"CMB003",1/20/2015,,22.5,28.87,10.12,22.15,0.7,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,23.0,28.88,10.13,22.16,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,23.5,28.88,10.13,22.16,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,24.0,28.89,10.13,22.16,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,24.5,28.89,10.13,22.16,0.7,6.6,7.2,89.5,(9999.0)
"CMB003",1/20/2015,,25.0,28.89,10.14,22.17,0.7,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,25.5,28.90,10.14,22.17,0.7,6.6,7.2,89.5,(9999.0)
"CMB003",1/20/2015,,26.0,28.90,10.13,22.17,0.7,6.6,7.1,89.6,(9999.0)
"CMB003",1/20/2015,,26.5,28.91,10.12,22.18,0.7,6.6,7.1,89.6,(9999.0)
"CMB003",1/20/2015,,27.0,28.91,10.11,22.18,0.6,6.6,7.2,89.6,(9999.0)
"CMB003",1/20/2015,,27.5,28.94,10.09,22.21,0.7,6.6,7.2,89.5,(9999.0)
"CMB003",1/20/2015,,28.0,28.97,10.06,22.24,0.6,6.6,7.2,89.7,(9999.0)
"CMB003",1/20/2015,,28.5,28.99,10.05,22.26,0.6,6.6,7.2,89.4,(9999.0)
"CMB003",1/20/2015,,29.0,29.01,10.05,22.27,0.6,6.6,7.1,89.2,(9999.0)
"CMB003",1/20/2015,,29.5,29.01,10.06,22.27,0.7,6.5,7.1,89.0,(9999.0)
"CMB003",1/20/2015,,30.0,29.02,10.07,22.28,0.6,6.6,7.1,89.0,(9999.0)
"CMB003",1/20/2015,,30.5,29.04,10.07,22.29,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,31.0,29.05,10.08,22.30,0.7,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,31.5,29.05,10.08,22.30,0.7,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,32.0,29.05,10.08,22.30,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,32.5,29.07,10.09,22.31,0.6,6.5,7.1,89.0,(9999.0)
"CMB003",1/20/2015,,33.0,29.08,10.10,22.32,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,33.5,29.09,10.10,22.32,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,34.0,29.08,10.10,22.32,0.6,6.5,7.1,89.2,(9999.0)
"CMB003",1/20/2015,,34.5,29.08,10.10,22.32,0.6,6.5,7.1,89.3,(9999.0)
"CMB003",1/20/2015,,35.0,29.08,10.10,22.32,0.6,6.5,7.1,89.2,(9999.0)
"CMB003",1/20/2015,,35.5,29.08,10.10,22.32,0.6,6.5,7.1,89.2,(9999.0)
"CMB003",1/20/2015,,36.0,29.08,10.10,22.32,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,36.5,29.08,10.10,22.32,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,37.0,29.08,10.10,22.32,0.6,6.5,7.0,89.2,(9999.0)
"CMB003",1/20/2015,,37.5,29.08,10.10,22.32,0.6,6.5,7.0,89.1,(9999.0)
"CMB003",1/20/2015,,38.0,29.08,10.10,22.32,0.6,6.5,7.1,89.1,(9999.0)
"CMB003",1/20/2015,,38.5,29.09,10.11,22.32,0.6,6.5,7.1,89.2,(9999.0)
"CMB003",1/20/2015,,39.0,29.10,10.12,22.33,0.6,6.5,7.0,89.2,(9999.0)
"CMB003",1/20/2015,,39.5,29.11,10.13,22.33,0.6,6.5,7.0,89.2,(9999.0)
"CMB003",1/20/2015,,40.0,29.11,10.15,22.34,0.6,6.4,7.0,89.2,(9999.0)
"CMB003",1/20/2015,,40.5,29.13,10.19,22.34,0.6,6.4,7.0,89.1,(9999.0)
"CMB003",1/20/2015,,41.0,29.15,10.23,22.35,0.6,6.4,6.9,89.0,(9999.0)
"CMB003",1/20/2015,,41.5,29.16,10.25,22.36,0.6,6.4,6.9,88.8,(9999.0)
"CMB003",1/20/2015,,42.0,29.17,10.25,22.36,0.5,6.3,6.9,88.7,(9999.0)
