"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"CRR001",1/22/2015,,1.0,27.96,9.11,21.60,3.4,8.1,8.8,88.0,(9999.0)
"CRR001",1/22/2015,,1.5,27.96,9.11,21.59,3.5,8.1,8.8,87.8,(9999.0)
"CRR001",1/22/2015,,2.0,27.98,9.08,21.61,3.5,8.1,8.8,87.8,(9999.0)
"CRR001",1/22/2015,,2.5,28.05,9.06,21.67,3.4,8.1,8.8,87.9,(9999.0)
"CRR001",1/22/2015,,3.0,28.18,9.25,21.74,3.2,8.0,8.7,88.6,(9999.0)
"CRR001",1/22/2015,,3.5,28.39,9.60,21.86,2.8,7.8,8.5,89.3,(9999.0)
"CRR001",1/22/2015,,4.0,28.43,9.65,21.88,2.4,7.6,8.3,89.8,(9999.0)
"CRR001",1/22/2015,,4.5,28.44,9.66,21.89,2.0,7.5,8.1,90.0,(9999.0)
"CRR001",1/22/2015,,5.0,28.44,9.66,21.89,1.8,7.4,8.1,90.1,(9999.0)
"CRR001",1/22/2015,,5.5,28.45,9.67,21.89,1.7,7.4,8.0,90.3,(9999.0)
"CRR001",1/22/2015,,6.0,28.46,9.69,21.90,1.7,7.3,8.0,90.3,(9999.0)
"CRR001",1/22/2015,,6.5,28.47,9.72,21.90,1.6,7.3,8.0,90.4,(9999.0)
"CRR001",1/22/2015,,7.0,28.49,9.76,21.91,1.6,7.3,7.9,90.3,(9999.0)
"CRR001",1/22/2015,,7.5,28.50,9.76,21.92,1.5,7.2,7.9,90.3,(9999.0)
"CRR001",1/22/2015,,8.0,28.50,9.77,21.92,1.4,7.2,7.8,90.3,(9999.0)
"CRR001",1/22/2015,,8.5,28.50,9.77,21.92,1.4,7.2,7.8,90.2,(9999.0)
"CRR001",1/22/2015,,9.0,28.50,9.77,21.92,1.3,7.2,7.8,90.3,(9999.0)
"CRR001",1/22/2015,,9.5,28.50,9.77,21.92,1.3,7.2,7.8,90.2,(9999.0)
"CRR001",1/22/2015,,10.0,28.51,9.78,21.92,1.3,7.1,7.8,90.3,(9999.0)
"CRR001",1/22/2015,,10.5,28.52,9.81,21.93,1.3,7.1,7.8,90.3,(9999.0)
"CRR001",1/22/2015,,11.0,28.52,9.81,21.93,1.2,7.1,7.8,90.3,(9999.0)
"CRR001",1/22/2015,,11.5,28.52,9.81,21.93,1.2,7.1,7.7,90.2,(9999.0)
"CRR001",1/22/2015,,12.0,28.52,9.81,21.93,1.1,7.1,7.7,90.1,(9999.0)
"CRR001",1/22/2015,,12.5,28.52,9.81,21.93,1.1,7.1,7.7,90.2,(9999.0)
"CRR001",1/22/2015,,13.0,28.52,9.82,21.93,1.2,7.1,7.7,90.1,(9999.0)
"CRR001",1/22/2015,,13.5,28.52,9.82,21.93,1.1,7.1,7.7,90.2,(9999.0)
"CRR001",1/22/2015,,14.0,28.52,9.82,21.93,1.1,7.1,7.7,90.1,(9999.0)
"CRR001",1/22/2015,,14.5,28.52,9.82,21.93,1.1,7.1,7.7,90.1,(9999.0)
"CRR001",1/22/2015,,15.0,28.52,9.82,21.93,1.1,7.1,7.7,90.1,(9999.0)
"CRR001",1/22/2015,,15.5,28.52,9.82,21.93,1.1,7.1,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,16.0,28.52,9.82,21.93,1.1,7.1,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,16.5,28.52,9.82,21.93,1.1,7.1,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,17.0,28.52,9.82,21.93,1.1,7.1,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,17.5,28.52,9.82,21.93,1.1,7.1,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,18.0,28.53,9.83,21.93,1.1,7.0,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,18.5,28.53,9.83,21.93,1.1,7.0,7.7,89.9,(9999.0)
"CRR001",1/22/2015,,19.0,28.53,9.84,21.93,1.1,7.0,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,19.5,28.54,9.85,21.94,1.1,7.0,7.7,90.0,(9999.0)
"CRR001",1/22/2015,,20.0,28.54,9.85,21.94,1.0,7.0,7.6,89.8,(9999.0)
"CRR001",1/22/2015,,20.5,28.54,9.85,21.94,1.0,7.0,7.6,89.7,(9999.0)
"CRR001",1/22/2015,,21.0,28.54,9.85,21.94,1.0,7.0,7.6,89.8,(9999.0)
"CRR001",1/22/2015,,21.5,28.54,9.86,21.94,1.0,7.0,7.6,89.7,(9999.0)
"CRR001",1/22/2015,,22.0,28.54,9.86,21.94,1.0,7.0,7.6,89.7,(9999.0)
"CRR001",1/22/2015,,22.5,28.55,9.86,21.94,1.0,7.0,7.6,89.7,(9999.0)
"CRR001",1/22/2015,,23.0,28.55,9.87,21.94,0.9,7.0,7.6,89.7,(9999.0)
"CRR001",1/22/2015,,23.5,28.55,9.87,21.94,0.9,7.0,7.6,89.6,(9999.0)
"CRR001",1/22/2015,,24.0,28.56,9.88,21.95,0.9,7.0,7.6,89.6,(9999.0)
"CRR001",1/22/2015,,24.5,28.56,9.89,21.95,0.9,6.9,7.6,89.5,(9999.0)
"CRR001",1/22/2015,,25.0,28.57,9.90,21.95,0.9,6.9,7.6,89.4,(9999.0)
"CRR001",1/22/2015,,25.5,28.57,9.90,21.95,0.9,6.9,7.5,89.4,(9999.0)
"CRR001",1/22/2015,,26.0,28.58,9.91,21.96,0.9,6.9,7.5,89.3,(9999.0)
"CRR001",1/22/2015,,26.5,28.58,9.92,21.96,0.9,6.9,7.5,89.3,(9999.0)
"CRR001",1/22/2015,,27.0,28.58,9.92,21.96,0.9,6.9,7.5,89.4,(9999.0)
"CRR001",1/22/2015,,27.5,28.58,9.92,21.96,0.8,6.9,7.5,89.5,(9999.0)
"CRR001",1/22/2015,,28.0,28.58,9.92,21.96,0.8,6.9,7.5,89.4,(9999.0)
"CRR001",1/22/2015,,28.5,28.58,9.92,21.96,0.9,6.9,7.5,89.5,(9999.0)
"CRR001",1/22/2015,,29.0,28.58,9.92,21.96,0.8,6.9,7.5,89.5,(9999.0)
"CRR001",1/22/2015,,29.5,28.58,9.93,21.96,0.8,6.9,7.5,89.5,(9999.0)
"CRR001",1/22/2015,,30.0,28.58,9.93,21.96,0.8,6.9,7.5,89.6,(9999.0)
"CRR001",1/22/2015,,30.5,28.58,9.93,21.96,0.9,6.9,7.5,89.5,(9999.0)
"CRR001",1/22/2015,,31.0,28.58,9.93,21.96,0.9,6.9,7.5,89.6,(9999.0)
"CRR001",1/22/2015,,31.5,28.58,9.93,21.96,0.8,6.9,7.5,89.6,(9999.0)
"CRR001",1/22/2015,,32.0,28.59,9.93,21.96,0.8,6.9,7.5,89.7,(9999.0)
"CRR001",1/22/2015,,32.5,28.59,9.94,21.96,0.8,6.9,7.5,89.8,(9999.0)
"CRR001",1/22/2015,,33.0,28.60,9.95,21.97,0.8,6.9,7.5,89.8,(9999.0)
"CRR001",1/22/2015,,33.5,28.60,9.96,21.97,0.8,6.8,7.4,89.8,(9999.0)
"CRR001",1/22/2015,,34.0,28.61,9.97,21.97,0.8,6.8,7.4,89.8,(9999.0)
"CRR001",1/22/2015,,34.5,28.62,9.98,21.98,0.8,6.8,7.4,89.6,(9999.0)
"CRR001",1/22/2015,,35.0,28.62,9.98,21.98,0.7,6.8,7.4,89.6,(9999.0)
"CRR001",1/22/2015,,35.5,28.63,9.99,21.98,0.7,6.8,7.4,89.5,(9999.0)
"CRR001",1/22/2015,,36.0,28.63,9.99,21.99,0.7,6.8,7.4,89.3,(9999.0)
"CRR001",1/22/2015,,36.5,28.64,10.00,21.99,0.7,6.7,7.3,89.1,(9999.0)
"CRR001",1/22/2015,,37.0,28.65,10.00,21.99,0.7,6.7,7.3,88.6,(9999.0)
