"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"CSE001",1/22/2015,,1.0,27.79,9.45,21.41,1.2,7.2,7.9,82.9,(9999.0)
"CSE001",1/22/2015,,1.5,27.79,9.44,21.41,1.1,7.2,7.9,82.5,(9999.0)
"CSE001",1/22/2015,,2.0,27.79,9.43,21.41,1.1,7.2,7.9,83.4,(9999.0)
"CSE001",1/22/2015,,2.5,27.79,9.43,21.41,1.1,7.3,7.9,83.5,(9999.0)
"CSE001",1/22/2015,,3.0,27.79,9.42,21.41,1.1,7.3,7.9,83.7,(9999.0)
"CSE001",1/22/2015,,3.5,27.79,9.43,21.41,1.1,7.3,7.9,83.9,(9999.0)
"CSE001",1/22/2015,,4.0,27.79,9.43,21.41,1.2,7.3,7.9,84.0,(9999.0)
"CSE001",1/22/2015,,4.5,27.79,9.42,21.42,1.1,7.3,7.9,84.2,(9999.0)
"CSE001",1/22/2015,,5.0,27.79,9.42,21.42,1.1,7.3,7.9,84.4,(9999.0)
"CSE001",1/22/2015,,5.5,27.79,9.42,21.42,1.1,7.3,7.9,84.5,(9999.0)
"CSE001",1/22/2015,,6.0,27.81,9.44,21.43,1.1,7.3,7.9,84.6,(9999.0)
"CSE001",1/22/2015,,6.5,27.82,9.45,21.44,1.1,7.2,7.9,84.6,(9999.0)
"CSE001",1/22/2015,,7.0,27.84,9.47,21.45,1.1,7.2,7.9,84.6,(9999.0)
"CSE001",1/22/2015,,7.5,27.88,9.50,21.48,1.1,7.2,7.9,84.5,(9999.0)
"CSE001",1/22/2015,,8.0,27.92,9.52,21.50,1.0,7.2,7.8,84.3,(9999.0)
"CSE001",1/22/2015,,8.5,27.94,9.54,21.51,1.0,7.2,7.8,84.2,(9999.0)
"CSE001",1/22/2015,,9.0,27.94,9.55,21.52,0.9,7.2,7.8,84.3,(9999.0)
"CSE001",1/22/2015,,9.5,27.95,9.55,21.52,0.9,7.2,7.8,84.3,(9999.0)
"CSE001",1/22/2015,,10.0,27.96,9.56,21.53,0.9,7.1,7.8,84.4,(9999.0)
"CSE001",1/22/2015,,10.5,27.97,9.57,21.53,0.9,7.1,7.8,84.4,(9999.0)
"CSE001",1/22/2015,,11.0,27.98,9.57,21.54,0.9,7.1,7.8,84.5,(9999.0)
"CSE001",1/22/2015,,11.5,27.98,9.57,21.54,0.9,7.1,7.8,84.5,(9999.0)
"CSE001",1/22/2015,,12.0,27.98,9.57,21.54,0.9,7.1,7.8,84.5,(9999.0)
"CSE001",1/22/2015,,12.5,27.97,9.57,21.54,0.9,7.1,7.8,84.4,(9999.0)
"CSE001",1/22/2015,,13.0,27.98,9.58,21.54,0.9,7.1,7.8,84.3,(9999.0)
"CSE001",1/22/2015,,13.5,27.98,9.58,21.54,0.9,7.1,7.8,84.7,(9999.0)
