"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"DNA001",1/22/2015,,1.0,27.72,9.59,21.34,1.1,7.1,7.7,76.4,(9999.0)
"DNA001",1/22/2015,,1.5,27.73,9.59,21.34,1.1,7.1,7.7,76.3,(9999.0)
"DNA001",1/22/2015,,2.0,27.73,9.59,21.34,1.1,7.1,7.8,76.9,(9999.0)
"DNA001",1/22/2015,,2.5,27.71,9.59,21.33,1.1,7.1,7.8,76.4,(9999.0)
"DNA001",1/22/2015,,3.0,27.70,9.59,21.32,1.1,7.1,7.7,76.8,(9999.0)
"DNA001",1/22/2015,,3.5,27.71,9.59,21.33,1.1,7.1,7.7,77.1,(9999.0)
"DNA001",1/22/2015,,4.0,27.73,9.59,21.34,1.1,7.1,7.7,77.4,(9999.0)
"DNA001",1/22/2015,,4.5,27.74,9.59,21.35,1.1,7.1,7.7,77.4,(9999.0)
"DNA001",1/22/2015,,5.0,27.74,9.59,21.35,1.1,7.1,7.7,77.8,(9999.0)
"DNA001",1/22/2015,,5.5,27.73,9.59,21.35,1.1,7.1,7.7,78.5,(9999.0)
"DNA001",1/22/2015,,6.0,27.74,9.59,21.35,1.1,7.1,7.7,78.6,(9999.0)
"DNA001",1/22/2015,,6.5,27.74,9.59,21.35,1.1,7.1,7.7,78.6,(9999.0)
"DNA001",1/22/2015,,7.0,27.75,9.60,21.36,1.1,7.1,7.7,78.4,(9999.0)
"DNA001",1/22/2015,,7.5,27.75,9.60,21.36,1.1,7.1,7.7,78.5,(9999.0)
"DNA001",1/22/2015,,8.0,27.76,9.60,21.36,1.1,7.1,7.7,78.6,(9999.0)
"DNA001",1/22/2015,,8.5,27.76,9.60,21.37,1.1,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,9.0,27.76,9.60,21.37,1.1,7.1,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,9.5,27.77,9.60,21.37,1.1,7.1,7.7,79.1,(9999.0)
"DNA001",1/22/2015,,10.0,27.78,9.60,21.38,1.1,7.1,7.7,79.7,(9999.0)
"DNA001",1/22/2015,,10.5,27.78,9.61,21.38,1.1,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,11.0,27.78,9.61,21.38,1.1,7.1,7.7,79.6,(9999.0)
"DNA001",1/22/2015,,11.5,27.80,9.61,21.39,1.1,7.1,7.7,79.7,(9999.0)
"DNA001",1/22/2015,,12.0,27.80,9.61,21.40,1.1,7.1,7.7,79.6,(9999.0)
"DNA001",1/22/2015,,12.5,27.79,9.61,21.39,1.1,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,13.0,27.79,9.61,21.39,1.1,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,13.5,27.80,9.61,21.39,1.0,7.1,7.7,79.2,(9999.0)
"DNA001",1/22/2015,,14.0,27.80,9.61,21.40,1.0,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,14.5,27.79,9.61,21.39,1.0,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,15.0,27.80,9.61,21.39,1.1,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,15.5,27.79,9.61,21.39,1.1,7.1,7.7,79.2,(9999.0)
"DNA001",1/22/2015,,16.0,27.79,9.61,21.39,1.1,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,16.5,27.79,9.61,21.39,1.1,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,17.0,27.79,9.61,21.39,1.0,7.1,7.7,79.1,(9999.0)
"DNA001",1/22/2015,,17.5,27.79,9.61,21.39,1.0,7.1,7.7,79.2,(9999.0)
"DNA001",1/22/2015,,18.0,27.79,9.61,21.39,1.1,7.1,7.7,79.6,(9999.0)
"DNA001",1/22/2015,,18.5,27.79,9.61,21.39,1.0,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,19.0,27.80,9.61,21.40,1.0,7.1,7.7,79.4,(9999.0)
"DNA001",1/22/2015,,19.5,27.80,9.61,21.40,1.0,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,20.0,27.79,9.61,21.39,1.1,7.1,7.7,79.5,(9999.0)
"DNA001",1/22/2015,,20.5,27.82,9.62,21.41,1.0,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,21.0,27.81,9.61,21.41,1.0,7.1,7.7,79.3,(9999.0)
"DNA001",1/22/2015,,21.5,27.81,9.62,21.40,1.0,7.1,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,22.0,27.83,9.62,21.42,1.1,7.1,7.7,79.1,(9999.0)
"DNA001",1/22/2015,,22.5,27.85,9.63,21.43,1.0,7.1,7.7,79.2,(9999.0)
"DNA001",1/22/2015,,23.0,27.84,9.62,21.43,1.0,7.1,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,23.5,27.82,9.62,21.41,1.1,7.1,7.7,78.9,(9999.0)
"DNA001",1/22/2015,,24.0,27.87,9.63,21.45,1.1,7.1,7.7,79.1,(9999.0)
"DNA001",1/22/2015,,24.5,27.86,9.63,21.44,1.0,7.1,7.7,78.9,(9999.0)
"DNA001",1/22/2015,,25.0,27.86,9.63,21.44,1.0,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,25.5,27.86,9.63,21.44,1.0,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,26.0,27.86,9.63,21.44,1.1,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,26.5,27.86,9.63,21.44,1.1,7.1,7.7,78.8,(9999.0)
"DNA001",1/22/2015,,27.0,27.87,9.63,21.44,1.0,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,27.5,27.87,9.63,21.45,1.1,7.1,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,28.0,27.88,9.64,21.45,1.1,7.0,7.7,78.6,(9999.0)
"DNA001",1/22/2015,,28.5,27.88,9.64,21.46,1.0,7.0,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,29.0,27.89,9.64,21.46,1.1,7.0,7.7,78.8,(9999.0)
"DNA001",1/22/2015,,29.5,27.89,9.64,21.46,1.1,7.0,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,30.0,27.88,9.64,21.46,1.0,7.0,7.7,79.1,(9999.0)
"DNA001",1/22/2015,,30.5,27.88,9.64,21.45,1.1,7.0,7.7,78.7,(9999.0)
"DNA001",1/22/2015,,31.0,27.88,9.64,21.45,1.1,7.0,7.7,78.9,(9999.0)
"DNA001",1/22/2015,,31.5,27.87,9.64,21.45,1.0,7.0,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,32.0,27.88,9.64,21.45,1.0,7.1,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,32.5,27.88,9.64,21.45,1.0,7.0,7.7,79.0,(9999.0)
"DNA001",1/22/2015,,33.0,27.88,9.64,21.45,1.0,7.1,7.7,78.8,(9999.0)
"DNA001",1/22/2015,,33.5,27.88,9.64,21.45,1.0,7.1,7.7,78.8,(9999.0)
