"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"EAP001",1/20/2015,,1.0,28.29,9.72,21.76,1.9,7.8,8.5,93.7,(9999.0)
"EAP001",1/20/2015,,1.5,28.29,9.72,21.76,1.7,7.7,8.4,94.0,(9999.0)
"EAP001",1/20/2015,,2.0,28.29,9.72,21.76,1.9,7.7,8.4,93.9,(9999.0)
"EAP001",1/20/2015,,2.5,28.29,9.72,21.76,2.1,7.7,8.4,93.9,(9999.0)
"EAP001",1/20/2015,,3.0,28.30,9.72,21.77,2.2,7.7,8.4,94.0,(9999.0)
"EAP001",1/20/2015,,3.5,28.30,9.72,21.77,2.3,7.7,8.4,94.1,(9999.0)
"EAP001",1/20/2015,,4.0,28.30,9.72,21.77,2.3,7.7,8.4,94.0,(9999.0)
"EAP001",1/20/2015,,4.5,28.30,9.72,21.77,2.3,7.7,8.4,93.6,(9999.0)
"EAP001",1/20/2015,,5.0,28.31,9.73,21.77,2.3,7.7,8.4,94.1,(9999.0)
"EAP001",1/20/2015,,5.5,28.32,9.73,21.78,2.2,7.7,8.4,94.1,(9999.0)
"EAP001",1/20/2015,,6.0,28.33,9.74,21.79,2.1,7.6,8.3,94.2,(9999.0)
"EAP001",1/20/2015,,6.5,28.37,9.77,21.81,2.0,7.6,8.3,94.2,(9999.0)
"EAP001",1/20/2015,,7.0,28.43,9.81,21.86,1.8,7.5,8.2,94.5,(9999.0)
"EAP001",1/20/2015,,7.5,28.49,9.85,21.89,1.7,7.5,8.1,94.7,(9999.0)
"EAP001",1/20/2015,,8.0,28.54,9.89,21.93,1.6,7.4,8.0,94.8,(9999.0)
"EAP001",1/20/2015,,8.5,28.57,9.89,21.95,1.6,7.3,8.0,94.8,(9999.0)
"EAP001",1/20/2015,,9.0,28.59,9.90,21.96,1.5,7.3,7.9,94.7,(9999.0)
"EAP001",1/20/2015,,9.5,28.60,9.90,21.98,1.5,7.3,7.9,94.6,(9999.0)
"EAP001",1/20/2015,,10.0,28.62,9.89,21.99,1.4,7.2,7.9,94.5,(9999.0)
"EAP001",1/20/2015,,10.5,28.63,9.89,22.00,1.4,7.2,7.9,94.4,(9999.0)
"EAP001",1/20/2015,,11.0,28.64,9.89,22.01,1.3,7.2,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,11.5,28.65,9.89,22.02,1.3,7.2,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,12.0,28.65,9.89,22.02,1.3,7.2,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,12.5,28.66,9.89,22.02,1.3,7.2,7.8,94.4,(9999.0)
"EAP001",1/20/2015,,13.0,28.66,9.89,22.03,1.3,7.2,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,13.5,28.67,9.88,22.03,1.3,7.2,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,14.0,28.69,9.89,22.04,1.3,7.1,7.8,94.3,(9999.0)
"EAP001",1/20/2015,,14.5,28.71,9.91,22.06,1.2,7.1,7.8,94.1,(9999.0)
"EAP001",1/20/2015,,15.0,28.72,9.92,22.07,1.2,7.1,7.7,94.1,(9999.0)
"EAP001",1/20/2015,,15.5,28.73,9.92,22.07,1.2,7.1,7.7,94.0,(9999.0)
"EAP001",1/20/2015,,16.0,28.74,9.94,22.08,1.1,7.0,7.7,93.9,(9999.0)
"EAP001",1/20/2015,,16.5,28.76,9.95,22.09,1.0,7.0,7.7,93.8,(9999.0)
"EAP001",1/20/2015,,17.0,28.76,9.95,22.09,1.0,7.0,7.6,93.9,(9999.0)
"EAP001",1/20/2015,,17.5,28.77,9.96,22.10,1.0,7.0,7.6,93.9,(9999.0)
"EAP001",1/20/2015,,18.0,28.78,9.96,22.10,1.0,7.0,7.6,93.8,(9999.0)
"EAP001",1/20/2015,,18.5,28.80,9.98,22.12,1.0,6.9,7.6,93.7,(9999.0)
"EAP001",1/20/2015,,19.0,28.82,9.99,22.14,1.0,6.9,7.5,93.6,(9999.0)
"EAP001",1/20/2015,,19.5,28.83,9.99,22.14,1.0,6.9,7.5,93.4,(9999.0)
"EAP001",1/20/2015,,20.0,28.84,10.00,22.14,0.9,6.9,7.5,93.3,(9999.0)
"EAP001",1/20/2015,,20.5,28.84,10.00,22.15,0.9,6.9,7.5,93.2,(9999.0)
