"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"ELB015",1/20/2015,,1.0,20.71,9.11,15.94,1.3,7.8,8.5,30.9,(9999.0)
"ELB015",1/20/2015,,1.5,22.21,9.32,17.08,1.2,8.0,8.7,30.1,(9999.0)
"ELB015",1/20/2015,,2.0,25.84,9.73,19.85,1.2,7.6,8.3,32.5,(9999.0)
"ELB015",1/20/2015,,2.5,28.24,10.03,21.67,1.2,7.2,7.9,43.0,(9999.0)
"ELB015",1/20/2015,,3.0,28.42,10.04,21.81,1.3,7.1,7.7,77.3,(9999.0)
"ELB015",1/20/2015,,3.5,28.55,10.04,21.92,1.3,7.0,7.7,91.8,(9999.0)
"ELB015",1/20/2015,,4.0,28.64,10.03,21.99,1.3,7.0,7.6,93.4,(9999.0)
"ELB015",1/20/2015,,4.5,28.65,10.03,21.99,1.2,7.0,7.7,94.1,(9999.0)
"ELB015",1/20/2015,,5.0,28.66,10.03,22.00,1.3,7.0,7.6,94.5,(9999.0)
"ELB015",1/20/2015,,5.5,28.70,10.05,22.03,1.2,7.0,7.6,94.5,(9999.0)
"ELB015",1/20/2015,,6.0,28.72,10.07,22.05,1.0,6.9,7.6,94.6,(9999.0)
"ELB015",1/20/2015,,6.5,28.73,10.07,22.05,0.9,6.9,7.5,94.6,(9999.0)
"ELB015",1/20/2015,,7.0,28.74,10.08,22.06,0.9,6.9,7.5,94.6,(9999.0)
"ELB015",1/20/2015,,7.5,28.75,10.08,22.06,0.9,6.9,7.5,94.6,(9999.0)
"ELB015",1/20/2015,,8.0,28.77,10.11,22.08,0.9,6.8,7.5,94.5,(9999.0)
"ELB015",1/20/2015,,8.5,28.78,10.11,22.08,0.8,6.8,7.4,94.3,(9999.0)
"ELB015",1/20/2015,,9.0,28.79,10.11,22.09,0.8,6.8,7.4,94.1,(9999.0)
"ELB015",1/20/2015,,9.5,28.79,10.11,22.09,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,10.0,28.79,10.10,22.09,0.7,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,10.5,28.79,10.10,22.09,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,11.0,28.79,10.09,22.09,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,11.5,28.79,10.09,22.10,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,12.0,28.79,10.08,22.10,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,12.5,28.79,10.08,22.10,0.8,6.8,7.4,94.3,(9999.0)
"ELB015",1/20/2015,,13.0,28.80,10.08,22.10,0.8,6.8,7.5,94.2,(9999.0)
"ELB015",1/20/2015,,13.5,28.80,10.08,22.10,0.8,6.8,7.5,94.2,(9999.0)
"ELB015",1/20/2015,,14.0,28.80,10.08,22.10,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,14.5,28.81,10.09,22.11,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,15.0,28.82,10.09,22.11,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,15.5,28.82,10.09,22.11,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,16.0,28.82,10.09,22.12,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,16.5,28.82,10.09,22.12,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,17.0,28.82,10.09,22.12,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,17.5,28.82,10.09,22.12,0.8,6.8,7.4,94.2,(9999.0)
"ELB015",1/20/2015,,18.0,28.83,10.10,22.12,0.8,6.8,7.4,94.1,(9999.0)
"ELB015",1/20/2015,,18.5,28.84,10.09,22.13,0.7,6.8,7.4,94.0,(9999.0)
"ELB015",1/20/2015,,19.0,28.85,10.09,22.14,0.7,6.8,7.4,93.9,(9999.0)
"ELB015",1/20/2015,,19.5,28.86,10.10,22.14,0.7,6.8,7.4,93.9,(9999.0)
"ELB015",1/20/2015,,20.0,28.86,10.10,22.15,0.7,6.8,7.4,93.9,(9999.0)
"ELB015",1/20/2015,,20.5,28.87,10.10,22.15,0.7,6.8,7.4,93.8,(9999.0)
"ELB015",1/20/2015,,21.0,28.88,10.10,22.16,0.7,6.8,7.4,93.8,(9999.0)
"ELB015",1/20/2015,,21.5,28.90,10.11,22.17,0.7,6.7,7.3,93.8,(9999.0)
"ELB015",1/20/2015,,22.0,28.91,10.12,22.18,0.7,6.7,7.3,93.7,(9999.0)
"ELB015",1/20/2015,,22.5,28.91,10.12,22.18,0.6,6.7,7.3,93.7,(9999.0)
"ELB015",1/20/2015,,23.0,28.91,10.12,22.18,0.6,6.7,7.3,93.7,(9999.0)
"ELB015",1/20/2015,,23.5,28.91,10.11,22.18,0.6,6.7,7.3,93.4,(9999.0)
"ELB015",1/20/2015,,24.0,28.91,10.11,22.19,0.6,6.7,7.3,93.6,(9999.0)
"ELB015",1/20/2015,,24.5,28.91,10.11,22.19,0.6,6.7,7.3,93.6,(9999.0)
"ELB015",1/20/2015,,25.0,28.91,10.11,22.19,0.6,6.7,7.3,93.6,(9999.0)
"ELB015",1/20/2015,,25.5,28.91,10.11,22.19,0.6,6.7,7.3,93.5,(9999.0)
"ELB015",1/20/2015,,26.0,28.91,10.11,22.19,0.6,6.7,7.3,93.5,(9999.0)
"ELB015",1/20/2015,,26.5,28.92,10.11,22.19,0.6,6.7,7.3,93.4,(9999.0)
"ELB015",1/20/2015,,27.0,28.93,10.11,22.20,0.6,6.7,7.3,93.4,(9999.0)
"ELB015",1/20/2015,,27.5,28.93,10.12,22.20,0.6,6.7,7.3,93.4,(9999.0)
"ELB015",1/20/2015,,28.0,28.93,10.11,22.20,0.6,6.7,7.3,93.3,(9999.0)
"ELB015",1/20/2015,,28.5,28.94,10.08,22.21,0.6,6.7,7.3,93.3,(9999.0)
"ELB015",1/20/2015,,29.0,28.94,10.07,22.21,0.6,6.7,7.3,93.2,(9999.0)
"ELB015",1/20/2015,,29.5,28.94,10.06,22.21,0.7,6.7,7.3,93.2,(9999.0)
"ELB015",1/20/2015,,30.0,28.94,10.06,22.21,0.7,6.7,7.3,93.1,(9999.0)
"ELB015",1/20/2015,,30.5,28.94,10.06,22.21,0.7,6.7,7.3,93.2,(9999.0)
"ELB015",1/20/2015,,31.0,28.95,10.06,22.22,0.7,6.7,7.3,93.3,(9999.0)
"ELB015",1/20/2015,,31.5,28.96,10.08,22.23,0.7,6.7,7.3,93.3,(9999.0)
"ELB015",1/20/2015,,32.0,28.98,10.08,22.24,0.7,6.6,7.2,93.2,(9999.0)
"ELB015",1/20/2015,,32.5,28.98,10.08,22.25,0.6,6.6,7.2,93.1,(9999.0)
"ELB015",1/20/2015,,33.0,28.99,10.08,22.25,0.6,6.6,7.2,93.1,(9999.0)
"ELB015",1/20/2015,,33.5,29.00,10.07,22.26,0.7,6.6,7.2,93.1,(9999.0)
"ELB015",1/20/2015,,34.0,29.00,10.08,22.26,0.6,6.6,7.2,93.0,(9999.0)
"ELB015",1/20/2015,,34.5,29.00,10.08,22.26,0.6,6.6,7.2,93.1,(9999.0)
"ELB015",1/20/2015,,35.0,29.01,10.09,22.26,0.6,6.6,7.2,93.1,(9999.0)
"ELB015",1/20/2015,,35.5,29.01,10.08,22.26,0.6,6.6,7.2,93.0,(9999.0)
"ELB015",1/20/2015,,36.0,29.01,10.08,22.27,0.6,6.6,7.2,93.0,(9999.0)
"ELB015",1/20/2015,,36.5,29.02,10.09,22.27,0.6,6.6,7.2,93.0,(9999.0)
"ELB015",1/20/2015,,37.0,29.02,10.09,22.28,0.6,6.6,7.2,93.0,(9999.0)
