"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"GOR001",1/22/2015,,1.0,28.28,9.80,21.74,1.1,6.9,7.6,86.4,(9999.0)
"GOR001",1/22/2015,,1.5,28.29,9.80,21.75,1.0,7.0,7.6,86.3,(9999.0)
"GOR001",1/22/2015,,2.0,28.29,9.81,21.75,1.0,7.0,7.6,85.7,(9999.0)
"GOR001",1/22/2015,,2.5,28.31,9.82,21.76,1.0,6.9,7.6,86.2,(9999.0)
"GOR001",1/22/2015,,3.0,28.32,9.83,21.77,1.0,6.9,7.6,86.3,(9999.0)
"GOR001",1/22/2015,,3.5,28.34,9.83,21.79,1.0,6.9,7.6,86.2,(9999.0)
"GOR001",1/22/2015,,4.0,28.35,9.83,21.79,1.0,6.9,7.5,86.1,(9999.0)
"GOR001",1/22/2015,,4.5,28.35,9.83,21.79,1.0,6.9,7.5,86.1,(9999.0)
"GOR001",1/22/2015,,5.0,28.36,9.84,21.80,1.0,6.9,7.5,86.2,(9999.0)
"GOR001",1/22/2015,,5.5,28.36,9.84,21.80,1.0,6.9,7.6,86.1,(9999.0)
"GOR001",1/22/2015,,6.0,28.38,9.84,21.81,1.0,6.9,7.5,86.2,(9999.0)
"GOR001",1/22/2015,,6.5,28.40,9.85,21.83,1.0,6.9,7.5,86.2,(9999.0)
"GOR001",1/22/2015,,7.0,28.42,9.85,21.84,1.0,6.9,7.5,86.2,(9999.0)
"GOR001",1/22/2015,,7.5,28.43,9.85,21.85,1.0,6.9,7.5,86.1,(9999.0)
"GOR001",1/22/2015,,8.0,28.43,9.85,21.85,1.0,6.9,7.5,86.2,(9999.0)
"GOR001",1/22/2015,,8.5,28.44,9.85,21.86,0.9,6.9,7.5,86.1,(9999.0)
"GOR001",1/22/2015,,9.0,28.44,9.85,21.86,0.9,6.9,7.5,86.3,(9999.0)
"GOR001",1/22/2015,,9.5,28.45,9.85,21.86,0.9,6.9,7.5,86.4,(9999.0)
"GOR001",1/22/2015,,10.0,28.45,9.85,21.87,0.9,6.9,7.5,86.4,(9999.0)
