"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"GRG002",1/21/2015,,1.5,29.26,8.63,22.68,0.7,7.0,7.7,87.7,(9999.0)
"GRG002",1/21/2015,,2.0,29.26,8.63,22.68,0.7,7.1,7.7,87.5,(9999.0)
"GRG002",1/21/2015,,2.5,29.26,8.63,22.68,0.8,7.1,7.7,87.6,(9999.0)
"GRG002",1/21/2015,,3.0,29.26,8.63,22.68,0.9,7.0,7.7,87.5,(9999.0)
"GRG002",1/21/2015,,3.5,29.26,8.63,22.68,0.9,7.0,7.7,87.7,(9999.0)
"GRG002",1/21/2015,,4.0,29.27,8.64,22.69,0.9,7.1,7.7,87.6,(9999.0)
"GRG002",1/21/2015,,4.5,29.28,8.64,22.70,0.9,7.1,7.7,87.5,(9999.0)
"GRG002",1/21/2015,,5.0,29.28,8.64,22.69,1.0,7.1,7.7,87.6,(9999.0)
"GRG002",1/21/2015,,5.5,29.29,8.64,22.70,1.0,7.0,7.7,87.5,(9999.0)
"GRG002",1/21/2015,,6.0,29.29,8.64,22.70,1.0,7.0,7.7,87.3,(9999.0)
"GRG002",1/21/2015,,6.5,29.30,8.65,22.71,0.9,7.1,7.7,87.4,(9999.0)
"GRG002",1/21/2015,,7.0,29.31,8.65,22.72,0.9,7.0,7.7,87.2,(9999.0)
"GRG002",1/21/2015,,7.5,29.32,8.65,22.73,0.9,7.0,7.7,87.1,(9999.0)
"GRG002",1/21/2015,,8.0,29.32,8.65,22.72,0.9,7.0,7.7,86.9,(9999.0)
"GRG002",1/21/2015,,8.5,29.31,8.65,22.72,0.8,7.0,7.7,86.9,(9999.0)
"GRG002",1/21/2015,,9.0,29.31,8.65,22.72,0.8,7.0,7.7,86.9,(9999.0)
"GRG002",1/21/2015,,9.5,29.32,8.65,22.73,0.9,7.0,7.7,86.9,(9999.0)
"GRG002",1/21/2015,,10.0,29.34,8.66,22.74,0.9,7.0,7.7,86.9,(9999.0)
"GRG002",1/21/2015,,10.5,29.33,8.66,22.74,0.8,7.0,7.6,86.7,(9999.0)
"GRG002",1/21/2015,,11.0,29.33,8.66,22.73,0.9,7.0,7.7,86.8,(9999.0)
"GRG002",1/21/2015,,11.5,29.33,8.66,22.73,0.8,7.0,7.7,86.8,(9999.0)
"GRG002",1/21/2015,,12.0,29.33,8.66,22.73,0.8,7.0,7.7,86.7,(9999.0)
"GRG002",1/21/2015,,12.5,29.33,8.66,22.73,0.8,7.1,7.7,86.6,(9999.0)
"GRG002",1/21/2015,,13.0,29.33,8.66,22.73,0.8,7.1,7.7,86.8,(9999.0)
"GRG002",1/21/2015,,13.5,29.33,8.66,22.74,0.8,7.0,7.7,86.8,(9999.0)
"GRG002",1/21/2015,,14.0,29.34,8.66,22.74,0.8,7.0,7.7,86.6,(9999.0)
"GRG002",1/21/2015,,14.5,29.35,8.66,22.75,0.8,7.1,7.7,86.6,(9999.0)
"GRG002",1/21/2015,,15.0,29.34,8.66,22.74,0.8,7.0,7.7,86.4,(9999.0)
"GRG002",1/21/2015,,15.5,29.35,8.66,22.75,0.8,7.0,7.7,86.4,(9999.0)
"GRG002",1/21/2015,,16.0,29.36,8.66,22.75,0.8,7.0,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,16.5,29.35,8.66,22.74,0.8,7.1,7.7,86.4,(9999.0)
"GRG002",1/21/2015,,17.0,29.35,8.66,22.74,0.9,7.1,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,17.5,29.35,8.66,22.75,0.9,7.0,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,18.0,29.35,8.66,22.75,0.9,7.0,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,18.5,29.35,8.66,22.75,0.8,7.1,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,19.0,29.36,8.67,22.76,0.8,7.0,7.7,86.6,(9999.0)
"GRG002",1/21/2015,,19.5,29.37,8.67,22.76,0.8,7.0,7.7,86.6,(9999.0)
"GRG002",1/21/2015,,20.0,29.39,8.67,22.78,0.8,7.0,7.7,86.5,(9999.0)
"GRG002",1/21/2015,,20.5,29.40,8.67,22.78,0.9,7.0,7.7,86.2,(9999.0)
"GRG002",1/21/2015,,21.0,29.41,8.68,22.79,0.9,7.0,7.6,86.1,(9999.0)
"GRG002",1/21/2015,,21.5,29.42,8.68,22.80,0.8,7.0,7.6,86.0,(9999.0)
"GRG002",1/21/2015,,22.0,29.40,8.67,22.79,0.8,7.0,7.6,85.9,(9999.0)
"GRG002",1/21/2015,,22.5,29.40,8.67,22.79,0.8,7.0,7.7,85.8,(9999.0)
"GRG002",1/21/2015,,23.0,29.41,8.67,22.79,0.8,7.0,7.7,85.9,(9999.0)
"GRG002",1/21/2015,,23.5,29.41,8.67,22.79,0.8,7.0,7.6,85.7,(9999.0)
"GRG002",1/21/2015,,24.0,29.41,8.67,22.79,0.8,7.0,7.6,85.9,(9999.0)
"GRG002",1/21/2015,,24.5,29.42,8.68,22.80,0.8,7.0,7.6,85.8,(9999.0)
"GRG002",1/21/2015,,25.0,29.42,8.68,22.80,0.8,7.0,7.6,85.6,(9999.0)
"GRG002",1/21/2015,,25.5,29.43,8.68,22.80,0.8,7.0,7.6,85.7,(9999.0)
"GRG002",1/21/2015,,26.0,29.43,8.68,22.80,0.8,7.0,7.6,85.7,(9999.0)
"GRG002",1/21/2015,,26.5,29.43,8.68,22.80,0.8,7.0,7.6,85.6,(9999.0)
"GRG002",1/21/2015,,27.0,29.43,8.68,22.81,0.8,7.0,7.6,85.7,(9999.0)
"GRG002",1/21/2015,,27.5,29.45,8.69,22.82,0.8,7.0,7.6,85.9,(9999.0)
"GRG002",1/21/2015,,28.0,29.45,8.69,22.82,0.8,7.0,7.6,85.7,(9999.0)
"GRG002",1/21/2015,,28.5,29.45,8.69,22.82,0.7,7.0,7.6,85.6,(9999.0)
"GRG002",1/21/2015,,29.0,29.45,8.69,22.83,0.8,7.0,7.6,85.5,(9999.0)
"GRG002",1/21/2015,,29.5,29.45,8.69,22.83,0.8,7.0,7.6,85.5,(9999.0)
"GRG002",1/21/2015,,30.0,29.46,8.69,22.83,0.7,7.0,7.6,85.6,(9999.0)
"GRG002",1/21/2015,,30.5,29.47,8.69,22.84,0.7,7.0,7.6,85.5,(9999.0)
"GRG002",1/21/2015,,31.0,29.47,8.69,22.84,0.8,7.0,7.6,85.3,(9999.0)
"GRG002",1/21/2015,,31.5,29.47,8.69,22.84,0.7,7.0,7.6,85.0,(9999.0)
"GRG002",1/21/2015,,32.0,29.47,8.69,22.84,0.8,7.0,7.6,85.2,(9999.0)
"GRG002",1/21/2015,,32.5,29.49,8.69,22.85,0.8,7.0,7.6,85.1,(9999.0)
"GRG002",1/21/2015,,33.0,29.49,8.69,22.85,0.8,7.0,7.6,85.1,(9999.0)
"GRG002",1/21/2015,,33.5,29.49,8.69,22.86,0.8,6.9,7.6,84.9,(9999.0)
"GRG002",1/21/2015,,34.0,29.50,8.70,22.86,0.8,6.9,7.6,84.8,(9999.0)
"GRG002",1/21/2015,,34.5,29.50,8.70,22.86,0.8,6.9,7.6,84.8,(9999.0)
"GRG002",1/21/2015,,35.0,29.50,8.70,22.86,0.8,7.0,7.6,84.7,(9999.0)
"GRG002",1/21/2015,,35.5,29.50,8.69,22.86,0.8,7.0,7.6,84.5,(9999.0)
"GRG002",1/21/2015,,36.0,29.50,8.69,22.86,0.8,7.0,7.6,84.8,(9999.0)
"GRG002",1/21/2015,,36.5,29.50,8.69,22.86,0.8,7.0,7.6,84.5,(9999.0)
"GRG002",1/21/2015,,37.0,29.50,8.69,22.86,0.8,7.0,7.6,84.5,(9999.0)
"GRG002",1/21/2015,,37.5,29.50,8.69,22.86,0.8,7.0,7.6,84.4,(9999.0)
"GRG002",1/21/2015,,38.0,29.50,8.70,22.86,0.7,7.0,7.6,84.4,(9999.0)
"GRG002",1/21/2015,,38.5,29.50,8.70,22.86,0.8,7.0,7.6,84.2,(9999.0)
"GRG002",1/21/2015,,39.0,29.51,8.70,22.86,0.8,7.0,7.6,84.3,(9999.0)
"GRG002",1/21/2015,,39.5,29.50,8.70,22.86,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,40.0,29.51,8.70,22.86,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,40.5,29.51,8.70,22.87,0.8,7.0,7.6,84.5,(9999.0)
"GRG002",1/21/2015,,41.0,29.51,8.70,22.86,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,41.5,29.51,8.70,22.86,0.8,7.0,7.6,84.2,(9999.0)
"GRG002",1/21/2015,,42.0,29.51,8.70,22.86,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,42.5,29.51,8.70,22.86,0.8,7.0,7.6,83.9,(9999.0)
"GRG002",1/21/2015,,43.0,29.51,8.70,22.86,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,43.5,29.51,8.70,22.87,0.8,7.0,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,44.0,29.51,8.70,22.86,0.8,7.0,7.6,83.8,(9999.0)
"GRG002",1/21/2015,,44.5,29.51,8.70,22.86,0.8,7.0,7.6,84.0,(9999.0)
"GRG002",1/21/2015,,45.0,29.51,8.70,22.86,0.8,6.9,7.6,84.0,(9999.0)
"GRG002",1/21/2015,,45.5,29.51,8.70,22.87,0.8,6.9,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,46.0,29.51,8.70,22.87,0.8,6.9,7.6,84.1,(9999.0)
"GRG002",1/21/2015,,46.5,29.52,8.70,22.87,0.8,6.9,7.6,84.0,(9999.0)
"GRG002",1/21/2015,,47.0,29.52,8.70,22.87,0.8,7.0,7.6,83.6,(9999.0)
"GRG002",1/21/2015,,47.5,29.52,8.70,22.88,0.8,7.0,7.6,83.6,(9999.0)
"GRG002",1/21/2015,,48.0,29.52,8.70,22.88,0.8,6.9,7.6,83.4,(9999.0)
"GRG002",1/21/2015,,48.5,29.52,8.70,22.88,0.8,6.9,7.6,83.6,(9999.0)
"GRG002",1/21/2015,,49.0,29.52,8.70,22.88,0.8,6.9,7.6,83.9,(9999.0)
"GRG002",1/21/2015,,49.5,29.52,8.70,22.88,0.7,6.9,7.6,83.7,(9999.0)
