"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"HCB007",1/13/2015,,1.5,20.63,8.77,15.92,4.1,8.7,9.5,81.1,(9999.0)
"HCB007",1/13/2015,,2.0,22.44,9.09,17.29,2.4,7.8,8.5,81.1,(9999.0)
"HCB007",1/13/2015,,2.5,23.26,9.24,17.91,1.7,7.2,7.8,81.8,(9999.0)
"HCB007",1/13/2015,,3.0,23.81,9.34,18.33,1.6,6.8,7.5,84.1,(9999.0)
"HCB007",1/13/2015,,3.5,24.46,9.45,18.82,1.6,6.5,7.1,88.7,(9999.0)
"HCB007",1/13/2015,,4.0,24.87,9.51,19.13,1.8,6.2,6.8,90.1,(9999.0)
"HCB007",1/13/2015,,4.5,25.39,9.67,19.51,1.9,5.9,6.5,91.6,(9999.0)
"HCB007",1/13/2015,,5.0,25.81,9.75,19.83,1.9,5.7,6.2,93.3,(9999.0)
"HCB007",1/13/2015,,5.5,26.21,9.85,20.12,1.9,5.5,6.0,94.3,(9999.0)
"HCB007",1/13/2015,,6.0,26.42,9.88,20.28,2.1,5.3,5.8,94.7,(9999.0)
"HCB007",1/13/2015,,6.5,26.79,9.94,20.56,2.5,5.0,5.4,95.0,(9999.0)
"HCB007",1/13/2015,,7.0,27.28,10.03,20.93,3.0,4.7,5.1,95.2,(9999.0)
"HCB007",1/13/2015,,7.5,27.58,10.08,21.16,3.1,4.6,5.0,94.9,(9999.0)
"HCB007",1/13/2015,,8.0,27.75,10.10,21.28,2.7,4.5,4.9,95.0,(9999.0)
"HCB007",1/13/2015,,8.5,27.87,10.12,21.37,2.2,4.4,4.8,95.7,(9999.0)
"HCB007",1/13/2015,,9.0,28.00,10.15,21.47,1.8,4.3,4.6,96.1,(9999.0)
"HCB007",1/13/2015,,9.5,28.11,10.17,21.56,1.6,4.0,4.3,96.6,(9999.0)
"HCB007",1/13/2015,,10.0,28.24,10.19,21.65,1.5,3.6,4.0,96.7,(9999.0)
"HCB007",1/13/2015,,10.5,28.38,10.21,21.75,1.4,3.4,3.7,96.7,(9999.0)
"HCB007",1/13/2015,,11.0,28.48,10.22,21.83,1.3,3.2,3.4,96.8,(9999.0)
"HCB007",1/13/2015,,11.5,28.51,10.23,21.85,1.3,3.1,3.3,96.7,(9999.0)
"HCB007",1/13/2015,,12.0,28.58,10.24,21.91,1.2,2.9,3.2,96.8,(9999.0)
"HCB007",1/13/2015,,12.5,28.68,10.25,21.99,1.1,2.8,3.0,96.9,(9999.0)
"HCB007",1/13/2015,,13.0,28.78,10.26,22.06,1.0,2.6,2.8,96.8,(9999.0)
"HCB007",1/13/2015,,13.5,28.85,10.26,22.11,0.9,2.4,2.6,96.9,(9999.0)
"HCB007",1/13/2015,,14.0,28.92,10.26,22.17,0.8,2.2,2.4,96.8,(9999.0)
"HCB007",1/13/2015,,14.5,28.99,10.26,22.22,0.8,2.0,2.2,96.5,(9999.0)
"HCB007",1/13/2015,,15.0,29.07,10.26,22.29,0.7,1.9,2.1,96.2,(9999.0)
"HCB007",1/13/2015,,15.5,29.13,10.26,22.33,0.7,1.8,2.0,96.1,(9999.0)
"HCB007",1/13/2015,,16.0,29.15,10.27,22.34,0.6,1.8,1.9,95.8,(9999.0)
"HCB007",1/13/2015,,16.5,29.18,10.27,22.37,0.6,1.7,1.9,95.3,(9999.0)
"HCB007",1/13/2015,,17.0,29.22,10.27,22.40,0.6,1.7,1.8,95.0,(9999.0)
"HCB007",1/13/2015,,17.5,29.25,10.27,22.43,0.6,1.7,1.8,94.7,(9999.0)
"HCB007",1/13/2015,,18.0,29.27,10.28,22.44,0.6,1.7,1.8,94.3,(9999.0)
"HCB007",1/13/2015,,18.5,29.29,10.28,22.46,0.6,1.6,1.8,93.8,(9999.0)
"HCB007",1/13/2015,,19.0,29.32,10.27,22.48,0.6,1.6,1.7,93.4,(9999.0)
"HCB007",1/13/2015,,19.5,29.34,10.27,22.50,0.6,1.4,1.5,90.8,(9999.0)
