"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"NSQ002",1/22/2015,,1.0,27.93,9.64,21.49,1.2,7.1,7.7,83.7,(9999.0)
"NSQ002",1/22/2015,,1.5,27.94,9.64,21.50,1.2,7.1,7.7,82.9,(9999.0)
"NSQ002",1/22/2015,,2.0,27.95,9.65,21.50,1.1,7.1,7.7,82.9,(9999.0)
"NSQ002",1/22/2015,,2.5,28.00,9.68,21.55,1.1,7.0,7.7,82.8,(9999.0)
"NSQ002",1/22/2015,,3.0,28.06,9.71,21.58,1.0,7.0,7.6,82.9,(9999.0)
"NSQ002",1/22/2015,,3.5,28.06,9.71,21.58,1.0,7.0,7.6,82.7,(9999.0)
"NSQ002",1/22/2015,,4.0,28.06,9.71,21.58,1.0,7.0,7.6,82.4,(9999.0)
"NSQ002",1/22/2015,,4.5,28.06,9.71,21.58,1.0,7.0,7.6,82.4,(9999.0)
"NSQ002",1/22/2015,,5.0,28.06,9.71,21.58,1.0,7.0,7.6,82.5,(9999.0)
"NSQ002",1/22/2015,,5.5,28.06,9.71,21.58,0.9,7.0,7.6,82.3,(9999.0)
"NSQ002",1/22/2015,,6.0,28.06,9.71,21.58,1.0,7.0,7.6,82.3,(9999.0)
"NSQ002",1/22/2015,,6.5,28.06,9.71,21.58,1.0,7.0,7.6,82.6,(9999.0)
"NSQ002",1/22/2015,,7.0,28.06,9.71,21.59,0.9,7.0,7.6,82.8,(9999.0)
"NSQ002",1/22/2015,,7.5,28.06,9.71,21.59,0.9,7.0,7.6,82.9,(9999.0)
"NSQ002",1/22/2015,,8.0,28.06,9.71,21.59,0.9,7.0,7.6,82.9,(9999.0)
"NSQ002",1/22/2015,,8.5,28.06,9.71,21.59,0.9,7.0,7.6,83.2,(9999.0)
"NSQ002",1/22/2015,,9.0,28.07,9.71,21.59,0.9,7.0,7.6,83.4,(9999.0)
"NSQ002",1/22/2015,,9.5,28.07,9.71,21.59,0.9,7.0,7.6,83.6,(9999.0)
"NSQ002",1/22/2015,,10.0,28.07,9.71,21.59,0.9,7.0,7.6,83.6,(9999.0)
"NSQ002",1/22/2015,,10.5,28.07,9.71,21.59,0.9,7.0,7.6,84.0,(9999.0)
"NSQ002",1/22/2015,,11.0,28.07,9.71,21.59,0.9,7.0,7.6,83.8,(9999.0)
"NSQ002",1/22/2015,,11.5,28.07,9.71,21.59,0.9,7.0,7.6,83.7,(9999.0)
"NSQ002",1/22/2015,,12.0,28.08,9.72,21.60,0.9,7.0,7.6,83.8,(9999.0)
"NSQ002",1/22/2015,,12.5,28.08,9.72,21.60,0.9,7.0,7.6,84.0,(9999.0)
"NSQ002",1/22/2015,,13.0,28.10,9.73,21.61,0.9,7.0,7.6,84.3,(9999.0)
"NSQ002",1/22/2015,,13.5,28.11,9.73,21.62,0.9,7.0,7.6,84.4,(9999.0)
"NSQ002",1/22/2015,,14.0,28.12,9.74,21.63,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,14.5,28.13,9.74,21.64,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,15.0,28.14,9.74,21.64,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,15.5,28.16,9.75,21.65,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,16.0,28.17,9.75,21.66,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,16.5,28.18,9.76,21.67,0.9,7.0,7.6,84.6,(9999.0)
"NSQ002",1/22/2015,,17.0,28.20,9.77,21.68,0.9,7.0,7.6,84.6,(9999.0)
"NSQ002",1/22/2015,,17.5,28.21,9.77,21.69,0.9,7.0,7.6,84.6,(9999.0)
"NSQ002",1/22/2015,,18.0,28.23,9.78,21.70,0.9,7.0,7.6,84.5,(9999.0)
"NSQ002",1/22/2015,,18.5,28.25,9.79,21.72,0.9,6.9,7.6,84.4,(9999.0)
"NSQ002",1/22/2015,,19.0,28.26,9.80,21.73,0.9,6.9,7.6,84.3,(9999.0)
"NSQ002",1/22/2015,,19.5,28.29,9.81,21.75,0.9,6.9,7.5,84.3,(9999.0)
"NSQ002",1/22/2015,,20.0,28.33,9.83,21.77,0.8,6.9,7.5,84.1,(9999.0)
"NSQ002",1/22/2015,,20.5,28.36,9.84,21.80,0.9,6.9,7.5,84.1,(9999.0)
"NSQ002",1/22/2015,,21.0,28.37,9.84,21.81,0.8,6.9,7.5,84.1,(9999.0)
"NSQ002",1/22/2015,,21.5,28.37,9.84,21.81,0.8,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,22.0,28.37,9.84,21.81,0.9,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,22.5,28.37,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,23.0,28.37,9.85,21.81,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,23.5,28.37,9.84,21.81,0.9,6.9,7.5,83.5,(9999.0)
"NSQ002",1/22/2015,,24.0,28.37,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,24.5,28.37,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,25.0,28.37,9.84,21.81,0.9,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,25.5,28.38,9.84,21.81,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,26.0,28.38,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,26.5,28.38,9.84,21.81,0.9,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,27.0,28.37,9.84,21.81,0.9,6.9,7.5,84.0,(9999.0)
"NSQ002",1/22/2015,,27.5,28.37,9.84,21.81,0.9,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,28.0,28.38,9.84,21.81,0.9,6.9,7.5,83.9,(9999.0)
"NSQ002",1/22/2015,,28.5,28.37,9.84,21.81,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,29.0,28.38,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,29.5,28.37,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,30.0,28.38,9.84,21.81,0.9,6.8,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,30.5,28.38,9.84,21.81,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,31.0,28.38,9.84,21.82,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,31.5,28.39,9.84,21.82,0.9,6.9,7.5,83.6,(9999.0)
"NSQ002",1/22/2015,,32.0,28.40,9.84,21.83,0.9,6.9,7.5,83.5,(9999.0)
"NSQ002",1/22/2015,,32.5,28.41,9.85,21.83,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,33.0,28.41,9.85,21.84,0.9,6.8,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,33.5,28.42,9.85,21.84,0.9,6.9,7.5,83.8,(9999.0)
"NSQ002",1/22/2015,,34.0,28.42,9.85,21.84,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,34.5,28.43,9.85,21.85,0.9,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,35.0,28.43,9.86,21.85,0.8,6.9,7.5,83.7,(9999.0)
"NSQ002",1/22/2015,,35.5,28.43,9.86,21.85,0.9,6.9,7.5,83.7,(9999.0)
