"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"PSB003",1/20/2015,,1.5,28.18,9.94,21.64,0.7,7.1,7.7,92.7,(9999.0)
"PSB003",1/20/2015,,2.0,28.21,9.94,21.67,0.9,7.1,7.7,92.8,(9999.0)
"PSB003",1/20/2015,,2.5,28.27,9.95,21.71,1.0,7.1,7.7,92.8,(9999.0)
"PSB003",1/20/2015,,3.0,28.43,9.97,21.83,1.0,7.1,7.7,92.8,(9999.0)
"PSB003",1/20/2015,,3.5,28.64,10.00,21.99,0.9,7.0,7.6,92.8,(9999.0)
"PSB003",1/20/2015,,4.0,28.67,10.01,22.01,0.9,7.0,7.6,93.1,(9999.0)
"PSB003",1/20/2015,,4.5,28.68,10.01,22.02,0.9,6.9,7.6,93.2,(9999.0)
"PSB003",1/20/2015,,5.0,28.68,10.01,22.02,0.9,6.9,7.6,93.3,(9999.0)
"PSB003",1/20/2015,,5.5,28.70,10.01,22.04,1.0,6.9,7.5,93.2,(9999.0)
"PSB003",1/20/2015,,6.0,28.71,10.01,22.05,1.0,6.9,7.5,93.2,(9999.0)
"PSB003",1/20/2015,,6.5,28.72,10.01,22.05,1.0,6.9,7.5,93.4,(9999.0)
"PSB003",1/20/2015,,7.0,28.72,10.01,22.05,1.0,6.9,7.5,93.4,(9999.0)
"PSB003",1/20/2015,,7.5,28.73,10.01,22.06,1.0,6.9,7.5,93.4,(9999.0)
"PSB003",1/20/2015,,8.0,28.78,10.01,22.10,0.9,6.9,7.5,93.5,(9999.0)
"PSB003",1/20/2015,,8.5,28.80,10.01,22.11,0.9,6.9,7.5,93.3,(9999.0)
"PSB003",1/20/2015,,9.0,28.82,10.02,22.13,0.8,6.9,7.5,93.4,(9999.0)
"PSB003",1/20/2015,,9.5,28.83,10.02,22.14,0.8,6.8,7.5,93.5,(9999.0)
"PSB003",1/20/2015,,10.0,28.83,10.02,22.14,0.8,6.8,7.4,93.5,(9999.0)
"PSB003",1/20/2015,,10.5,28.84,10.02,22.14,0.8,6.8,7.4,93.5,(9999.0)
"PSB003",1/20/2015,,11.0,28.85,10.02,22.15,0.8,6.8,7.4,93.6,(9999.0)
"PSB003",1/20/2015,,11.5,28.86,10.02,22.16,0.8,6.8,7.4,93.5,(9999.0)
"PSB003",1/20/2015,,12.0,28.87,10.01,22.17,0.8,6.8,7.4,93.3,(9999.0)
"PSB003",1/20/2015,,12.5,28.87,10.01,22.17,0.8,6.8,7.4,93.2,(9999.0)
"PSB003",1/20/2015,,13.0,28.87,10.01,22.17,0.8,6.8,7.4,93.0,(9999.0)
"PSB003",1/20/2015,,13.5,28.89,10.01,22.18,0.8,6.8,7.4,92.9,(9999.0)
"PSB003",1/20/2015,,14.0,28.90,10.01,22.20,0.7,6.8,7.4,92.8,(9999.0)
"PSB003",1/20/2015,,14.5,28.92,10.00,22.21,0.7,6.8,7.4,92.7,(9999.0)
"PSB003",1/20/2015,,15.0,28.95,10.00,22.23,0.7,6.7,7.3,92.7,(9999.0)
"PSB003",1/20/2015,,15.5,28.97,10.00,22.25,0.7,6.7,7.3,92.5,(9999.0)
"PSB003",1/20/2015,,16.0,29.00,9.99,22.28,0.7,6.7,7.3,92.4,(9999.0)
"PSB003",1/20/2015,,16.5,29.03,9.99,22.30,0.7,6.7,7.3,92.3,(9999.0)
"PSB003",1/20/2015,,17.0,29.05,9.99,22.31,0.6,6.6,7.2,92.2,(9999.0)
"PSB003",1/20/2015,,17.5,29.07,9.98,22.33,0.6,6.6,7.2,92.0,(9999.0)
"PSB003",1/20/2015,,18.0,29.07,9.98,22.33,0.6,6.6,7.2,92.0,(9999.0)
"PSB003",1/20/2015,,18.5,29.09,9.97,22.34,0.6,6.6,7.2,91.9,(9999.0)
"PSB003",1/20/2015,,19.0,29.10,9.96,22.36,0.6,6.6,7.2,91.9,(9999.0)
"PSB003",1/20/2015,,19.5,29.11,9.96,22.36,0.6,6.6,7.2,91.9,(9999.0)
"PSB003",1/20/2015,,20.0,29.11,9.95,22.37,0.6,6.6,7.2,91.8,(9999.0)
"PSB003",1/20/2015,,20.5,29.11,9.95,22.37,0.6,6.6,7.2,91.8,(9999.0)
"PSB003",1/20/2015,,21.0,29.11,9.96,22.36,0.6,6.6,7.2,91.8,(9999.0)
"PSB003",1/20/2015,,21.5,29.11,9.95,22.37,0.6,6.6,7.2,91.7,(9999.0)
"PSB003",1/20/2015,,22.0,29.12,9.95,22.37,0.6,6.6,7.2,91.7,(9999.0)
"PSB003",1/20/2015,,22.5,29.13,9.94,22.38,0.6,6.6,7.2,91.7,(9999.0)
