"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"PSS019",1/21/2015,,1.0,19.25,7.94,14.94,3.2,8.6,9.3,68.9,(9999.0)
"PSS019",1/21/2015,,1.5,18.79,7.86,14.59,3.5,8.9,9.7,65.9,(9999.0)
"PSS019",1/21/2015,,2.0,19.41,8.02,15.06,3.6,9.0,9.9,65.8,(9999.0)
"PSS019",1/21/2015,,2.5,21.75,8.57,16.82,3.4,8.8,9.6,66.4,(9999.0)
"PSS019",1/21/2015,,3.0,22.94,8.78,17.72,3.2,8.5,9.3,69.2,(9999.0)
"PSS019",1/21/2015,,3.5,23.29,8.86,17.98,3.0,8.4,9.1,72.0,(9999.0)
"PSS019",1/21/2015,,4.0,23.95,9.01,18.48,2.9,8.2,9.0,75.7,(9999.0)
"PSS019",1/21/2015,,4.5,24.62,9.13,18.98,2.8,8.1,8.8,79.8,(9999.0)
"PSS019",1/21/2015,,5.0,24.85,9.17,19.16,2.6,8.0,8.7,81.7,(9999.0)
"PSS019",1/21/2015,,5.5,24.99,9.19,19.26,2.5,7.9,8.6,84.2,(9999.0)
"PSS019",1/21/2015,,6.0,25.08,9.21,19.34,2.4,7.8,8.5,86.0,(9999.0)
"PSS019",1/21/2015,,6.5,25.21,9.23,19.43,2.4,7.8,8.5,87.4,(9999.0)
"PSS019",1/21/2015,,7.0,25.39,9.25,19.57,2.3,7.8,8.5,87.2,(9999.0)
"PSS019",1/21/2015,,7.5,25.60,9.28,19.72,2.2,7.8,8.5,86.7,(9999.0)
"PSS019",1/21/2015,,8.0,25.79,9.32,19.87,2.1,7.7,8.4,86.4,(9999.0)
"PSS019",1/21/2015,,8.5,25.88,9.34,19.94,1.9,7.7,8.4,86.0,(9999.0)
"PSS019",1/21/2015,,9.0,26.04,9.37,20.06,1.8,7.7,8.4,85.9,(9999.0)
"PSS019",1/21/2015,,9.5,26.21,9.40,20.19,1.7,7.7,8.3,85.8,(9999.0)
"PSS019",1/21/2015,,10.0,26.85,9.59,20.66,1.6,7.5,8.2,85.7,(9999.0)
"PSS019",1/21/2015,,10.5,27.69,9.78,21.29,1.3,7.4,8.1,85.9,(9999.0)
"PSS019",1/21/2015,,11.0,28.14,9.89,21.61,1.1,7.3,7.9,87.1,(9999.0)
"PSS019",1/21/2015,,11.5,28.24,9.91,21.70,1.0,7.2,7.8,89.0,(9999.0)
"PSS019",1/21/2015,,12.0,28.27,9.92,21.71,0.9,7.1,7.8,90.1,(9999.0)
"PSS019",1/21/2015,,12.5,28.32,9.94,21.75,0.9,7.1,7.8,90.8,(9999.0)
"PSS019",1/21/2015,,13.0,28.38,9.95,21.80,0.9,7.1,7.7,91.4,(9999.0)
"PSS019",1/21/2015,,13.5,28.41,9.96,21.82,0.9,7.1,7.7,92.0,(9999.0)
"PSS019",1/21/2015,,14.0,28.43,9.97,21.83,0.9,7.0,7.7,92.2,(9999.0)
"PSS019",1/21/2015,,14.5,28.44,9.97,21.84,0.8,7.0,7.7,92.3,(9999.0)
"PSS019",1/21/2015,,15.0,28.44,9.97,21.84,0.8,7.0,7.7,92.3,(9999.0)
"PSS019",1/21/2015,,15.5,28.46,9.98,21.85,0.8,7.0,7.7,92.3,(9999.0)
"PSS019",1/21/2015,,16.0,28.48,9.99,21.87,0.8,7.0,7.6,92.5,(9999.0)
"PSS019",1/21/2015,,16.5,28.50,10.00,21.89,0.8,7.0,7.6,92.3,(9999.0)
"PSS019",1/21/2015,,17.0,28.52,10.00,21.89,0.8,7.0,7.6,92.2,(9999.0)
"PSS019",1/21/2015,,17.5,28.54,10.01,21.91,0.8,7.0,7.6,92.1,(9999.0)
"PSS019",1/21/2015,,18.0,28.58,10.03,21.94,0.8,6.9,7.6,91.9,(9999.0)
"PSS019",1/21/2015,,18.5,28.61,10.05,21.96,0.8,6.9,7.5,91.7,(9999.0)
"PSS019",1/21/2015,,19.0,28.65,10.06,21.99,0.7,6.9,7.5,91.5,(9999.0)
"PSS019",1/21/2015,,19.5,28.66,10.06,22.00,0.7,6.9,7.5,91.7,(9999.0)
"PSS019",1/21/2015,,20.0,28.69,10.08,22.02,0.7,6.9,7.5,91.6,(9999.0)
"PSS019",1/21/2015,,20.5,28.71,10.09,22.04,0.7,6.8,7.4,91.4,(9999.0)
"PSS019",1/21/2015,,21.0,28.76,10.11,22.07,0.7,6.8,7.4,91.3,(9999.0)
"PSS019",1/21/2015,,21.5,28.78,10.12,22.08,0.6,6.7,7.3,91.0,(9999.0)
"PSS019",1/21/2015,,22.0,28.78,10.12,22.08,0.6,6.7,7.3,90.8,(9999.0)
"PSS019",1/21/2015,,22.5,28.79,10.13,22.09,0.6,6.7,7.3,90.6,(9999.0)
"PSS019",1/21/2015,,23.0,28.79,10.13,22.09,0.7,6.7,7.3,90.8,(9999.0)
"PSS019",1/21/2015,,23.5,28.79,10.13,22.09,0.7,6.7,7.3,90.9,(9999.0)
"PSS019",1/21/2015,,24.0,28.79,10.14,22.09,0.7,6.7,7.3,90.7,(9999.0)
"PSS019",1/21/2015,,24.5,28.80,10.14,22.09,0.7,6.7,7.3,90.8,(9999.0)
"PSS019",1/21/2015,,25.0,28.80,10.14,22.09,0.6,6.7,7.3,90.7,(9999.0)
"PSS019",1/21/2015,,25.5,28.81,10.15,22.10,0.7,6.7,7.3,90.7,(9999.0)
"PSS019",1/21/2015,,26.0,28.82,10.15,22.10,0.7,6.7,7.3,90.7,(9999.0)
"PSS019",1/21/2015,,26.5,28.83,10.16,22.12,0.7,6.7,7.3,90.7,(9999.0)
"PSS019",1/21/2015,,27.0,28.84,10.17,22.12,0.6,6.6,7.2,90.5,(9999.0)
"PSS019",1/21/2015,,27.5,28.84,10.17,22.12,0.6,6.6,7.2,90.6,(9999.0)
