"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"PTH005",1/21/2015,,1.0,29.57,8.90,22.89,1.3,7.1,7.8,84.9,(9999.0)
"PTH005",1/21/2015,,1.5,29.52,8.93,22.84,1.4,7.1,7.7,85.3,(9999.0)
"PTH005",1/21/2015,,2.0,29.54,8.92,22.86,1.3,7.1,7.7,85.1,(9999.0)
"PTH005",1/21/2015,,2.5,29.60,8.89,22.91,1.3,7.1,7.7,85.3,(9999.0)
"PTH005",1/21/2015,,3.0,29.64,8.87,22.94,1.4,7.1,7.7,85.2,(9999.0)
"PTH005",1/21/2015,,3.5,29.69,8.84,22.99,1.4,7.1,7.8,85.2,(9999.0)
"PTH005",1/21/2015,,4.0,29.76,8.86,23.04,1.4,7.1,7.8,85.2,(9999.0)
"PTH005",1/21/2015,,4.5,29.83,8.92,23.08,1.4,7.1,7.7,85.3,(9999.0)
"PTH005",1/21/2015,,5.0,29.87,8.93,23.12,1.3,7.1,7.7,85.3,(9999.0)
"PTH005",1/21/2015,,5.5,29.88,8.88,23.13,1.2,7.1,7.7,85.2,(9999.0)
"PTH005",1/21/2015,,6.0,29.88,8.86,23.13,1.3,7.1,7.7,84.9,(9999.0)
"PTH005",1/21/2015,,6.5,29.88,8.85,23.14,1.3,7.1,7.7,84.8,(9999.0)
"PTH005",1/21/2015,,7.0,29.89,8.85,23.14,1.3,7.1,7.7,84.7,(9999.0)
"PTH005",1/21/2015,,7.5,29.90,8.85,23.15,1.3,7.1,7.7,84.6,(9999.0)
"PTH005",1/21/2015,,8.0,29.91,8.86,23.16,1.3,7.1,7.7,84.6,(9999.0)
"PTH005",1/21/2015,,8.5,29.92,8.87,23.16,1.3,7.1,7.8,84.7,(9999.0)
"PTH005",1/21/2015,,9.0,29.93,8.88,23.17,1.3,7.1,7.8,84.5,(9999.0)
"PTH005",1/21/2015,,9.5,29.94,8.89,23.18,1.3,7.1,7.7,84.6,(9999.0)
"PTH005",1/21/2015,,10.0,29.97,8.92,23.20,1.3,7.1,7.7,84.5,(9999.0)
"PTH005",1/21/2015,,10.5,30.01,8.93,23.22,1.2,7.0,7.7,84.6,(9999.0)
"PTH005",1/21/2015,,11.0,30.02,8.92,23.23,1.2,7.0,7.7,84.4,(9999.0)
"PTH005",1/21/2015,,11.5,30.02,8.92,23.23,1.1,7.0,7.6,84.2,(9999.0)
"PTH005",1/21/2015,,12.0,30.03,8.92,23.24,1.1,7.0,7.6,84.1,(9999.0)
"PTH005",1/21/2015,,12.5,30.05,8.92,23.26,1.1,7.0,7.6,84.2,(9999.0)
"PTH005",1/21/2015,,13.0,30.08,8.92,23.28,1.1,7.0,7.6,84.1,(9999.0)
"PTH005",1/21/2015,,13.5,30.11,8.93,23.30,1.1,7.0,7.6,84.1,(9999.0)
"PTH005",1/21/2015,,14.0,30.13,8.93,23.32,1.1,6.9,7.6,84.0,(9999.0)
"PTH005",1/21/2015,,14.5,30.14,8.94,23.32,1.0,6.9,7.6,84.0,(9999.0)
"PTH005",1/21/2015,,15.0,30.15,8.94,23.33,1.0,6.9,7.5,84.0,(9999.0)
"PTH005",1/21/2015,,15.5,30.15,8.95,23.33,0.9,6.9,7.5,83.9,(9999.0)
"PTH005",1/21/2015,,16.0,30.16,8.95,23.34,0.9,6.9,7.5,83.9,(9999.0)
"PTH005",1/21/2015,,16.5,30.17,8.96,23.35,0.9,6.9,7.5,83.7,(9999.0)
"PTH005",1/21/2015,,17.0,30.18,8.96,23.35,0.9,6.9,7.5,83.5,(9999.0)
"PTH005",1/21/2015,,17.5,30.19,8.96,23.36,0.8,6.8,7.5,83.2,(9999.0)
"PTH005",1/21/2015,,18.0,30.24,8.96,23.40,0.8,6.8,7.4,82.9,(9999.0)
"PTH005",1/21/2015,,18.5,30.27,8.97,23.42,0.8,6.8,7.4,81.5,(9999.0)
"PTH005",1/21/2015,,19.0,30.28,8.97,23.43,0.8,6.8,7.4,80.3,(9999.0)
"PTH005",1/21/2015,,19.5,30.28,8.97,23.43,0.8,6.8,7.4,79.7,(9999.0)
"PTH005",1/21/2015,,20.0,30.29,8.97,23.43,0.7,6.8,7.4,79.3,(9999.0)
"PTH005",1/21/2015,,20.5,30.29,8.97,23.44,0.7,6.8,7.4,78.8,(9999.0)
"PTH005",1/21/2015,,21.0,30.29,8.97,23.44,0.8,6.8,7.4,78.5,(9999.0)
"PTH005",1/21/2015,,21.5,30.30,8.97,23.44,0.8,6.8,7.4,78.4,(9999.0)
"PTH005",1/21/2015,,22.0,30.38,8.95,23.51,0.8,6.7,7.3,78.4,(9999.0)
"PTH005",1/21/2015,,22.5,30.42,8.95,23.54,0.7,6.7,7.3,78.1,(9999.0)
"PTH005",1/21/2015,,23.0,29.35,8.95,22.70,1.9,6.5,7.1,76.8,(9999.0)
