"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"SAR003",1/21/2015,,1.0,21.04,8.48,16.28,4.1,8.5,9.2,81.9,(9999.0)
"SAR003",1/21/2015,,1.5,21.04,8.49,16.28,4.2,8.5,9.3,81.9,(9999.0)
"SAR003",1/21/2015,,2.0,21.33,8.56,16.49,4.1,8.5,9.3,81.9,(9999.0)
"SAR003",1/21/2015,,2.5,21.48,8.58,16.61,4.0,8.5,9.2,82.0,(9999.0)
"SAR003",1/21/2015,,3.0,21.72,8.62,16.79,3.7,8.5,9.2,82.4,(9999.0)
"SAR003",1/21/2015,,3.5,22.08,8.65,17.07,3.5,8.4,9.2,82.9,(9999.0)
"SAR003",1/21/2015,,4.0,22.32,8.68,17.26,3.2,8.4,9.2,82.8,(9999.0)
"SAR003",1/21/2015,,4.5,22.42,8.70,17.32,3.0,8.4,9.1,83.1,(9999.0)
"SAR003",1/21/2015,,5.0,22.39,8.69,17.31,3.0,8.4,9.1,83.8,(9999.0)
"SAR003",1/21/2015,,5.5,22.51,8.72,17.39,3.0,8.3,9.1,84.3,(9999.0)
"SAR003",1/21/2015,,6.0,22.65,8.74,17.51,3.0,8.3,9.1,84.9,(9999.0)
"SAR003",1/21/2015,,6.5,22.76,8.75,17.59,2.9,8.3,9.0,85.4,(9999.0)
"SAR003",1/21/2015,,7.0,23.10,8.82,17.84,2.9,8.3,9.0,85.7,(9999.0)
"SAR003",1/21/2015,,7.5,23.47,8.91,18.12,2.9,8.2,8.9,86.5,(9999.0)
"SAR003",1/21/2015,,8.0,23.60,8.94,18.21,2.7,8.1,8.8,87.3,(9999.0)
"SAR003",1/21/2015,,8.5,24.52,9.16,18.90,2.6,7.9,8.6,87.8,(9999.0)
"SAR003",1/21/2015,,9.0,25.37,9.33,19.54,2.4,7.8,8.5,87.9,(9999.0)
"SAR003",1/21/2015,,9.5,26.60,9.62,20.46,2.1,7.6,8.2,87.1,(9999.0)
"SAR003",1/21/2015,,10.0,27.34,9.79,21.01,1.8,7.3,8.0,85.0,(9999.0)
"SAR003",1/21/2015,,10.5,27.83,9.95,21.36,1.5,7.1,7.7,86.3,(9999.0)
"SAR003",1/21/2015,,11.0,27.99,9.97,21.49,1.1,7.0,7.6,88.6,(9999.0)
"SAR003",1/21/2015,,11.5,28.04,10.00,21.53,1.0,6.9,7.5,89.7,(9999.0)
"SAR003",1/21/2015,,12.0,28.10,10.02,21.57,0.9,6.8,7.4,90.5,(9999.0)
"SAR003",1/21/2015,,12.5,28.15,10.03,21.60,0.9,6.8,7.4,90.8,(9999.0)
"SAR003",1/21/2015,,13.0,28.33,10.09,21.73,0.9,6.7,7.3,90.8,(9999.0)
"SAR003",1/21/2015,,13.5,28.52,10.17,21.87,0.8,6.6,7.2,90.8,(9999.0)
"SAR003",1/21/2015,,14.0,28.60,10.20,21.93,0.8,6.6,7.1,90.5,(9999.0)
"SAR003",1/21/2015,,14.5,28.63,10.22,21.95,0.7,6.5,7.1,90.4,(9999.0)
"SAR003",1/21/2015,,15.0,28.67,10.24,21.98,0.7,6.4,7.0,90.2,(9999.0)
"SAR003",1/21/2015,,15.5,28.68,10.24,21.98,0.6,6.4,7.0,90.1,(9999.0)
"SAR003",1/21/2015,,16.0,28.70,10.25,21.99,0.6,6.4,7.0,90.1,(9999.0)
"SAR003",1/21/2015,,16.5,28.71,10.25,22.01,0.6,6.4,6.9,89.9,(9999.0)
"SAR003",1/21/2015,,17.0,28.72,10.26,22.02,0.6,6.4,6.9,90.0,(9999.0)
"SAR003",1/21/2015,,17.5,28.74,10.27,22.03,0.6,6.3,6.9,90.0,(9999.0)
"SAR003",1/21/2015,,18.0,28.75,10.27,22.03,0.6,6.3,6.9,89.9,(9999.0)
"SAR003",1/21/2015,,18.5,28.75,10.27,22.03,0.6,6.3,6.9,89.8,(9999.0)
"SAR003",1/21/2015,,19.0,28.76,10.28,22.04,0.6,6.3,6.9,89.8,(9999.0)
"SAR003",1/21/2015,,19.5,28.76,10.28,22.04,0.6,6.3,6.9,89.8,(9999.0)
"SAR003",1/21/2015,,20.0,28.78,10.30,22.05,0.6,6.3,6.9,89.8,(9999.0)
"SAR003",1/21/2015,,20.5,28.79,10.31,22.06,0.6,6.3,6.8,89.5,(9999.0)
"SAR003",1/21/2015,,21.0,28.80,10.32,22.07,0.6,6.2,6.8,89.2,(9999.0)
"SAR003",1/21/2015,,21.5,28.82,10.33,22.08,0.6,6.2,6.8,89.1,(9999.0)
"SAR003",1/21/2015,,22.0,28.86,10.36,22.11,0.6,6.2,6.7,89.0,(9999.0)
"SAR003",1/21/2015,,22.5,28.88,10.35,22.12,0.6,6.1,6.7,88.7,(9999.0)
"SAR003",1/21/2015,,23.0,28.89,10.34,22.13,0.6,6.2,6.7,89.1,(9999.0)
"SAR003",1/21/2015,,23.5,28.91,10.31,22.15,0.5,6.2,6.8,89.8,(9999.0)
"SAR003",1/21/2015,,24.0,28.92,10.30,22.16,0.5,6.3,6.8,90.5,(9999.0)
"SAR003",1/21/2015,,24.5,28.93,10.29,22.17,0.5,6.3,6.8,90.7,(9999.0)
"SAR003",1/21/2015,,25.0,28.93,10.29,22.17,0.5,6.3,6.9,91.2,(9999.0)
"SAR003",1/21/2015,,25.5,28.93,10.29,22.17,0.5,6.3,6.9,91.3,(9999.0)
"SAR003",1/21/2015,,26.0,28.93,10.29,22.17,0.5,6.3,6.9,91.2,(9999.0)
"SAR003",1/21/2015,,26.5,28.94,10.30,22.18,0.5,6.3,6.9,91.3,(9999.0)
"SAR003",1/21/2015,,27.0,28.94,10.30,22.18,0.5,6.3,6.9,91.2,(9999.0)
"SAR003",1/21/2015,,27.5,28.94,10.30,22.18,0.5,6.3,6.8,91.2,(9999.0)
"SAR003",1/21/2015,,28.0,28.94,10.30,22.18,0.5,6.3,6.9,91.2,(9999.0)
"SAR003",1/21/2015,,28.5,28.95,10.31,22.18,0.5,6.3,6.8,91.3,(9999.0)
"SAR003",1/21/2015,,29.0,28.96,10.31,22.19,0.5,6.3,6.8,91.2,(9999.0)
"SAR003",1/21/2015,,29.5,28.97,10.33,22.20,0.5,6.3,6.8,91.1,(9999.0)
"SAR003",1/21/2015,,30.0,28.98,10.33,22.20,0.5,6.3,6.8,91.1,(9999.0)
"SAR003",1/21/2015,,30.5,28.98,10.33,22.21,0.5,6.2,6.8,91.1,(9999.0)
"SAR003",1/21/2015,,31.0,28.99,10.34,22.21,0.5,6.2,6.8,91.1,(9999.0)
"SAR003",1/21/2015,,31.5,28.99,10.34,22.21,0.5,6.2,6.8,91.1,(9999.0)
"SAR003",1/21/2015,,32.0,29.00,10.34,22.21,0.5,6.2,6.8,91.2,(9999.0)
"SAR003",1/21/2015,,32.5,29.00,10.35,22.22,0.5,6.2,6.8,91.3,(9999.0)
"SAR003",1/21/2015,,33.0,29.00,10.35,22.21,0.4,6.2,6.8,91.2,(9999.0)
"SAR003",1/21/2015,,33.5,29.01,10.36,22.22,0.4,6.2,6.7,91.2,(9999.0)
"SAR003",1/21/2015,,34.0,29.01,10.36,22.22,0.4,6.2,6.7,91.0,(9999.0)
"SAR003",1/21/2015,,34.5,29.02,10.37,22.22,0.4,6.2,6.7,91.0,(9999.0)
"SAR003",1/21/2015,,35.0,29.02,10.37,22.23,0.4,6.2,6.7,91.1,(9999.0)
"SAR003",1/21/2015,,35.5,29.02,10.38,22.23,0.5,6.1,6.7,91.0,(9999.0)
"SAR003",1/21/2015,,36.0,29.03,10.38,22.23,0.5,6.1,6.7,91.0,(9999.0)
"SAR003",1/21/2015,,36.5,29.03,10.39,22.24,0.4,6.1,6.7,90.9,(9999.0)
"SAR003",1/21/2015,,37.0,29.05,10.41,22.25,0.4,6.1,6.6,90.9,(9999.0)
"SAR003",1/21/2015,,37.5,29.08,10.43,22.27,0.4,6.0,6.6,90.6,(9999.0)
"SAR003",1/21/2015,,38.0,29.09,10.44,22.27,0.4,6.0,6.5,90.2,(9999.0)
"SAR003",1/21/2015,,38.5,29.10,10.45,22.28,0.4,6.0,6.5,89.7,(9999.0)
"SAR003",1/21/2015,,39.0,29.11,10.46,22.28,0.4,6.0,6.5,89.2,(9999.0)
"SAR003",1/21/2015,,39.5,29.11,10.46,22.28,0.4,6.0,6.5,89.1,(9999.0)
"SAR003",1/21/2015,,40.0,29.11,10.46,22.28,0.4,5.9,6.5,89.1,(9999.0)
"SAR003",1/21/2015,,40.5,29.11,10.46,22.28,0.4,5.9,6.5,89.0,(9999.0)
"SAR003",1/21/2015,,41.0,29.12,10.47,22.29,0.4,5.9,6.5,88.8,(9999.0)
"SAR003",1/21/2015,,41.5,29.12,10.47,22.29,0.4,5.9,6.4,88.7,(9999.0)
"SAR003",1/21/2015,,42.0,29.13,10.48,22.29,0.4,5.9,6.4,88.6,(9999.0)
"SAR003",1/21/2015,,42.5,29.12,10.48,22.29,0.4,5.9,6.4,88.5,(9999.0)
"SAR003",1/21/2015,,43.0,29.12,10.48,22.29,0.4,5.9,6.4,88.6,(9999.0)
"SAR003",1/21/2015,,43.5,29.13,10.49,22.30,0.4,5.9,6.4,88.5,(9999.0)
"SAR003",1/21/2015,,44.0,29.14,10.49,22.30,0.4,5.9,6.4,88.4,(9999.0)
"SAR003",1/21/2015,,44.5,29.12,10.47,22.29,0.4,5.9,6.4,88.3,(9999.0)
"SAR003",1/21/2015,,45.0,29.12,10.47,22.29,0.4,5.9,6.4,88.4,(9999.0)
"SAR003",1/21/2015,,45.5,29.11,10.47,22.29,0.4,5.9,6.4,88.6,(9999.0)
"SAR003",1/21/2015,,46.0,29.07,10.41,22.26,0.4,6.0,6.5,88.6,(9999.0)
"SAR003",1/21/2015,,46.5,29.06,10.42,22.25,0.4,6.0,6.5,89.4,(9999.0)
"SAR003",1/21/2015,,47.0,29.09,10.45,22.27,0.4,6.0,6.5,89.8,(9999.0)
"SAR003",1/21/2015,,47.5,29.06,10.41,22.25,0.4,6.0,6.6,89.5,(9999.0)
"SAR003",1/21/2015,,48.0,29.06,10.41,22.25,0.4,6.0,6.6,89.9,(9999.0)
"SAR003",1/21/2015,,48.5,29.07,10.42,22.26,0.4,6.0,6.6,90.1,(9999.0)
"SAR003",1/21/2015,,49.0,29.07,10.42,22.26,0.4,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,49.5,29.08,10.43,22.26,0.4,6.0,6.6,90.3,(9999.0)
"SAR003",1/21/2015,,50.0,29.08,10.43,22.26,0.4,6.0,6.6,90.1,(9999.0)
"SAR003",1/21/2015,,50.5,29.08,10.43,22.27,0.4,6.0,6.5,90.1,(9999.0)
"SAR003",1/21/2015,,51.0,29.08,10.43,22.26,0.4,6.0,6.5,89.9,(9999.0)
"SAR003",1/21/2015,,51.5,29.07,10.42,22.26,0.4,6.0,6.5,89.9,(9999.0)
"SAR003",1/21/2015,,52.0,29.07,10.42,22.26,0.4,6.0,6.6,89.9,(9999.0)
"SAR003",1/21/2015,,52.5,29.06,10.41,22.25,0.4,6.0,6.6,90.0,(9999.0)
"SAR003",1/21/2015,,53.0,29.06,10.41,22.25,0.4,6.0,6.6,90.1,(9999.0)
"SAR003",1/21/2015,,53.5,29.06,10.41,22.25,0.4,6.0,6.6,90.0,(9999.0)
"SAR003",1/21/2015,,54.0,29.06,10.41,22.25,0.4,6.0,6.6,90.0,(9999.0)
"SAR003",1/21/2015,,54.5,29.05,10.41,22.25,0.4,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,55.0,29.06,10.41,22.25,0.4,6.0,6.6,90.1,(9999.0)
"SAR003",1/21/2015,,55.5,29.06,10.41,22.25,0.4,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,56.0,29.05,10.41,22.25,0.4,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,56.5,29.06,10.41,22.25,0.4,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,57.0,29.07,10.43,22.26,0.5,6.0,6.6,90.2,(9999.0)
"SAR003",1/21/2015,,57.5,29.07,10.43,22.26,0.4,6.0,6.5,90.0,(9999.0)
"SAR003",1/21/2015,,58.0,29.07,10.43,22.26,0.4,6.0,6.5,89.8,(9999.0)
"SAR003",1/21/2015,,58.5,29.10,10.46,22.27,0.4,6.0,6.5,89.7,(9999.0)
"SAR003",1/21/2015,,59.0,29.16,10.53,22.31,0.4,5.9,6.4,89.4,(9999.0)
"SAR003",1/21/2015,,59.5,29.18,10.54,22.32,0.4,5.8,6.3,88.5,(9999.0)
"SAR003",1/21/2015,,60.0,29.19,10.55,22.33,0.4,5.8,6.3,88.0,(9999.0)
"SAR003",1/21/2015,,60.5,29.25,10.61,22.37,0.4,5.7,6.2,87.7,(9999.0)
"SAR003",1/21/2015,,61.0,29.32,10.66,22.42,0.4,5.5,6.0,86.0,(9999.0)
"SAR003",1/21/2015,,61.5,29.31,10.65,22.41,0.4,5.5,6.0,84.0,(9999.0)
"SAR003",1/21/2015,,62.0,29.32,10.65,22.41,0.4,5.5,6.0,83.5,(9999.0)
"SAR003",1/21/2015,,62.5,29.30,10.63,22.40,0.4,5.5,6.0,82.6,(9999.0)
"SAR003",1/21/2015,,63.0,29.32,10.64,22.42,0.4,5.5,5.9,82.0,(9999.0)
"SAR003",1/21/2015,,63.5,29.37,10.67,22.45,0.4,5.4,5.9,80.2,(9999.0)
"SAR003",1/21/2015,,64.0,29.37,10.67,22.45,0.4,5.4,5.8,78.9,(9999.0)
"SAR003",1/21/2015,,64.5,29.37,10.67,22.45,0.3,5.3,5.8,78.4,(9999.0)
"SAR003",1/21/2015,,65.0,29.37,10.67,22.45,0.4,5.3,5.8,78.0,(9999.0)
"SAR003",1/21/2015,,65.5,29.37,10.66,22.45,0.4,5.3,5.8,77.8,(9999.0)
"SAR003",1/21/2015,,66.0,29.37,10.66,22.45,0.4,5.4,5.8,77.7,(9999.0)
"SAR003",1/21/2015,,66.5,29.37,10.66,22.45,0.4,5.4,5.8,77.8,(9999.0)
"SAR003",1/21/2015,,67.0,29.37,10.65,22.45,0.4,5.4,5.9,78.2,(9999.0)
"SAR003",1/21/2015,,67.5,29.37,10.64,22.46,0.4,5.4,5.9,78.4,(9999.0)
"SAR003",1/21/2015,,68.0,29.37,10.62,22.46,0.4,5.4,5.9,77.8,(9999.0)
"SAR003",1/21/2015,,68.5,29.37,10.61,22.46,0.4,5.4,5.9,76.5,(9999.0)
"SAR003",1/21/2015,,69.0,29.38,10.61,22.46,0.4,5.4,5.9,76.1,(9999.0)
"SAR003",1/21/2015,,69.5,29.37,10.62,22.46,0.4,5.4,5.9,76.1,(9999.0)
"SAR003",1/21/2015,,70.0,29.37,10.64,22.46,0.4,5.4,5.9,76.3,(9999.0)
"SAR003",1/21/2015,,70.5,29.38,10.65,22.46,0.4,5.4,5.8,76.3,(9999.0)
"SAR003",1/21/2015,,71.0,29.38,10.65,22.46,0.4,5.4,5.8,76.0,(9999.0)
"SAR003",1/21/2015,,71.5,29.38,10.65,22.46,0.4,5.4,5.8,76.1,(9999.0)
"SAR003",1/21/2015,,72.0,29.38,10.65,22.46,0.4,5.4,5.8,76.0,(9999.0)
"SAR003",1/21/2015,,72.5,29.38,10.64,22.46,0.4,5.4,5.8,76.1,(9999.0)
"SAR003",1/21/2015,,73.0,29.38,10.64,22.46,0.4,5.4,5.8,76.2,(9999.0)
"SAR003",1/21/2015,,73.5,29.38,10.62,22.47,0.4,5.4,5.8,76.1,(9999.0)
"SAR003",1/21/2015,,74.0,29.38,10.61,22.47,0.4,5.4,5.9,76.3,(9999.0)
"SAR003",1/21/2015,,74.5,29.38,10.60,22.47,0.4,5.4,5.9,75.8,(9999.0)
"SAR003",1/21/2015,,75.0,29.38,10.61,22.47,0.4,5.4,5.9,75.6,(9999.0)
"SAR003",1/21/2015,,75.5,29.38,10.61,22.47,0.4,5.4,5.9,75.3,(9999.0)
"SAR003",1/21/2015,,76.0,29.38,10.61,22.47,0.4,5.4,5.9,74.8,(9999.0)
"SAR003",1/21/2015,,76.5,29.40,10.61,22.48,0.4,5.4,5.9,75.0,(9999.0)
"SAR003",1/21/2015,,77.0,29.40,10.61,22.49,0.4,5.4,5.9,75.0,(9999.0)
