"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"SIN001",1/22/2015,,1.0,27.24,9.38,20.99,2.3,7.4,8.0,82.7,(9999.0)
"SIN001",1/22/2015,,1.5,27.16,9.38,20.93,2.4,7.5,8.1,86.3,(9999.0)
"SIN001",1/22/2015,,2.0,27.39,9.36,21.12,2.4,7.5,8.1,86.3,(9999.0)
"SIN001",1/22/2015,,2.5,27.77,9.40,21.40,2.4,7.4,8.1,85.8,(9999.0)
"SIN001",1/22/2015,,3.0,28.00,9.44,21.58,2.3,7.3,8.0,86.4,(9999.0)
"SIN001",1/22/2015,,3.5,28.02,9.45,21.59,2.1,7.3,7.9,87.1,(9999.0)
"SIN001",1/22/2015,,4.0,28.05,9.46,21.62,1.9,7.2,7.9,87.4,(9999.0)
"SIN001",1/22/2015,,4.5,28.08,9.49,21.63,1.8,7.2,7.8,87.4,(9999.0)
"SIN001",1/22/2015,,5.0,28.12,9.52,21.66,1.7,7.1,7.8,87.6,(9999.0)
"SIN001",1/22/2015,,5.5,28.16,9.53,21.69,1.5,7.1,7.8,88.0,(9999.0)
"SIN001",1/22/2015,,6.0,28.23,9.55,21.74,1.4,7.1,7.7,88.0,(9999.0)
"SIN001",1/22/2015,,6.5,28.23,9.55,21.74,1.4,7.1,7.7,87.6,(9999.0)
"SIN001",1/22/2015,,7.0,28.24,9.55,21.75,1.3,7.1,7.7,87.3,(9999.0)
"SIN001",1/22/2015,,7.5,28.24,9.55,21.75,1.3,7.1,7.7,86.9,(9999.0)
"SIN001",1/22/2015,,8.0,28.24,9.55,21.75,1.3,7.1,7.7,86.6,(9999.0)
"SIN001",1/22/2015,,8.5,28.27,9.56,21.77,1.2,7.1,7.7,86.8,(9999.0)
"SIN001",1/22/2015,,9.0,28.33,9.59,21.81,1.2,7.0,7.7,86.6,(9999.0)
"SIN001",1/22/2015,,9.5,28.34,9.59,21.82,1.2,7.0,7.7,86.1,(9999.0)
"SIN001",1/22/2015,,10.0,28.34,9.60,21.82,1.1,7.0,7.6,86.0,(9999.0)
"SIN001",1/22/2015,,10.5,28.34,9.60,21.82,1.1,7.0,7.6,85.7,(9999.0)
"SIN001",1/22/2015,,11.0,28.34,9.61,21.82,1.1,7.0,7.6,85.5,(9999.0)
"SIN001",1/22/2015,,11.5,28.36,9.62,21.83,1.1,7.0,7.6,85.2,(9999.0)
"SIN001",1/22/2015,,12.0,28.37,9.64,21.84,1.1,6.9,7.6,85.0,(9999.0)
"SIN001",1/22/2015,,12.5,28.38,9.64,21.84,1.1,6.9,7.6,84.8,(9999.0)
"SIN001",1/22/2015,,13.0,28.39,9.65,21.85,1.1,6.9,7.5,84.7,(9999.0)
"SIN001",1/22/2015,,13.5,28.43,9.67,21.88,1.1,6.9,7.5,84.3,(9999.0)
"SIN001",1/22/2015,,14.0,27.64,9.68,21.26,3.1,6.5,7.1,83.3,(9999.0)
