"station", date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
"SKG003",1/21/2015,,1.0,17.98,7.75,13.97,1.5,8.0,8.7,33.5,(9999.0)
"SKG003",1/21/2015,,1.5,19.80,8.27,15.34,1.5,7.9,8.6,40.7,(9999.0)
"SKG003",1/21/2015,,2.0,20.22,8.38,15.65,1.5,7.9,8.6,42.7,(9999.0)
"SKG003",1/21/2015,,2.5,20.35,8.41,15.75,1.4,7.8,8.5,46.1,(9999.0)
"SKG003",1/21/2015,,3.0,20.55,8.45,15.90,1.4,7.7,8.4,47.9,(9999.0)
"SKG003",1/21/2015,,3.5,20.76,8.50,16.05,1.3,7.7,8.4,48.9,(9999.0)
"SKG003",1/21/2015,,4.0,21.01,8.55,16.25,1.3,7.7,8.3,49.7,(9999.0)
"SKG003",1/21/2015,,4.5,21.19,8.59,16.38,1.3,7.6,8.3,50.5,(9999.0)
"SKG003",1/21/2015,,5.0,21.20,8.60,16.39,1.3,7.6,8.3,50.4,(9999.0)
"SKG003",1/21/2015,,5.5,21.22,8.60,16.40,1.3,7.6,8.3,50.6,(9999.0)
"SKG003",1/21/2015,,6.0,21.26,8.61,16.43,1.2,7.6,8.3,50.8,(9999.0)
"SKG003",1/21/2015,,6.5,21.30,8.62,16.46,1.3,7.6,8.2,51.6,(9999.0)
"SKG003",1/21/2015,,7.0,21.34,8.64,16.49,1.3,7.6,8.2,52.2,(9999.0)
"SKG003",1/21/2015,,7.5,21.41,8.66,16.54,1.3,7.5,8.2,52.6,(9999.0)
"SKG003",1/21/2015,,8.0,21.93,8.76,16.94,1.3,7.5,8.1,52.7,(9999.0)
"SKG003",1/21/2015,,8.5,21.84,8.74,16.87,1.2,7.5,8.1,51.9,(9999.0)
"SKG003",1/21/2015,,9.0,23.40,9.11,18.04,1.3,7.2,7.9,50.7,(9999.0)
"SKG003",1/21/2015,,9.5,25.19,9.54,19.37,1.3,6.9,7.5,47.0,(9999.0)
"SKG003",1/21/2015,,10.0,25.80,9.71,19.82,1.2,6.6,7.2,45.3,(9999.0)
"SKG003",1/21/2015,,10.5,26.14,9.81,20.07,1.1,6.5,7.0,47.8,(9999.0)
"SKG003",1/21/2015,,11.0,26.31,9.85,20.20,1.0,6.3,6.9,52.2,(9999.0)
"SKG003",1/21/2015,,11.5,26.37,9.87,20.24,1.0,6.3,6.9,57.0,(9999.0)
"SKG003",1/21/2015,,12.0,26.49,9.91,20.33,1.0,6.3,6.8,57.1,(9999.0)
"SKG003",1/21/2015,,12.5,26.54,9.93,20.36,1.0,6.2,6.8,56.0,(9999.0)
"SKG003",1/21/2015,,13.0,26.56,9.93,20.38,0.9,6.2,6.7,54.8,(9999.0)
"SKG003",1/21/2015,,13.5,26.57,9.94,20.39,0.9,6.2,6.7,54.5,(9999.0)
"SKG003",1/21/2015,,14.0,26.57,9.94,20.39,0.9,6.1,6.7,54.3,(9999.0)
"SKG003",1/21/2015,,14.5,26.62,9.96,20.42,0.9,6.1,6.7,54.2,(9999.0)
"SKG003",1/21/2015,,15.0,26.72,10.00,20.49,1.0,6.1,6.7,55.6,(9999.0)
"SKG003",1/21/2015,,15.5,26.80,10.03,20.55,1.0,6.1,6.6,56.2,(9999.0)
"SKG003",1/21/2015,,16.0,27.01,10.11,20.71,0.9,6.0,6.6,56.1,(9999.0)
"SKG003",1/21/2015,,16.5,27.61,10.30,21.14,0.9,5.9,6.4,55.7,(9999.0)
"SKG003",1/21/2015,,17.0,27.87,10.37,21.33,0.8,5.8,6.3,54.9,(9999.0)
"SKG003",1/21/2015,,17.5,27.95,10.39,21.39,0.7,5.7,6.2,54.6,(9999.0)
"SKG003",1/21/2015,,18.0,27.99,10.40,21.42,0.7,5.7,6.2,54.8,(9999.0)
"SKG003",1/21/2015,,18.5,28.02,10.41,21.45,0.7,5.7,6.2,55.3,(9999.0)
"SKG003",1/21/2015,,19.0,28.03,10.41,21.45,0.7,5.6,6.1,56.5,(9999.0)
"SKG003",1/21/2015,,19.5,28.05,10.42,21.47,0.7,5.6,6.1,57.4,(9999.0)
"SKG003",1/21/2015,,20.0,28.06,10.42,21.47,0.7,5.6,6.1,57.2,(9999.0)
"SKG003",1/21/2015,,20.5,28.08,10.42,21.49,0.7,5.6,6.1,57.5,(9999.0)
"SKG003",1/21/2015,,21.0,28.09,10.43,21.50,0.6,5.6,6.1,57.2,(9999.0)
"SKG003",1/21/2015,,21.5,28.10,10.43,21.50,0.7,5.6,6.1,55.4,(9999.0)
